generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.4915,0.501,2.0776442219010236,221.518,125,139,112,119,127,125,122,131
1,0.38888,0.42233333333333334,2.0233342148029916,195.162,193,105,123,83,181,127,126,62
2,0.33728,0.3673333333333333,1.941032385611107,180.006,263,95,125,64,196,126,87,44
3,0.32039,0.34,1.8620139367090043,174.891,299,81,122,52,211,141,62,32
4,0.3089,0.325,1.7875415410014135,170.596,331,74,112,39,205,170,41,28
5,0.31583,0.319,1.7318181145645455,171.083,334,81,112,27,204,195,25,22
6,0.32249,0.3276666666666666,1.6909798481511285,171.811,325,83,95,18,206,232,24,17
7,0.34711,0.332,1.6290472018851458,175.699,342,73,82,14,183,271,17,18
8,0.34163,0.327,1.550980157708064,173.301,368,75,55,12,170,293,10,17
9,0.38056,0.3413333333333333,1.5248461269127584,180.61,357,70,55,8,157,325,8,20
10,0.39051,0.3423333333333333,1.4466252784679439,181.809,373,60,40,8,143,354,6,16
11,0.4022,0.3486666666666666,1.4019920686465133,183.45,383,64,31,7,119,370,0,26
12,0.42402,0.35966666666666663,1.372367763851044,188.008,379,63,23,8,101,399,3,24
13,0.43647,0.3753333333333333,1.3658366255638565,189.575,359,67,13,5,107,414,4,31
14,0.48118,0.3976666666666666,1.3820372621403307,199.21,335,68,17,6,90,440,6,38
15,0.50385,0.4096666666666666,1.3266610421347935,202.941,336,65,8,7,73,461,3,47
16,0.53465,0.42666666666666664,1.3046269548031122,209.297,320,62,11,3,62,484,3,55
17,0.55224,0.442,1.3082200039636207,213.03,295,73,9,3,61,498,2,59
18,0.5787,0.451,1.274516379280189,217.996,296,63,8,6,48,514,1,64
19,0.59209,0.4593333333333333,1.2950838930101494,220.829,278,65,9,12,49,527,3,57
20,0.59868,0.463,1.2555528852380926,221.514,278,61,7,11,45,539,1,58
21,0.61675,0.473,1.2332505450356686,225.249,272,64,4,15,33,548,0,64
22,0.6365,0.48233333333333334,1.2310708675007929,229.214,263,58,7,19,28,559,0,66
23,0.64923,0.49166666666666664,1.2167896562134546,231.545,256,59,5,24,18,568,1,69
24,0.67508,0.5076666666666666,1.226099590556818,237.342,238,56,8,26,17,575,0,80
25,0.68915,0.5166666666666666,1.220989287137489,239.901,223,51,10,28,19,592,1,76
26,0.69032,0.5153333333333333,1.2189111908445458,240.634,212,51,13,29,25,608,3,59
27,0.69856,0.5236666666666666,1.2211922377974125,242.042,197,47,20,23,30,618,3,62
28,0.71145,0.5293333333333332,1.1851947056228167,244.289,196,44,19,20,22,630,4,65
29,0.72182,0.5333333333333332,1.1653565014213418,247.102,189,49,19,16,19,639,4,65
30,0.73715,0.5423333333333332,1.145249927529175,249.761,179,47,16,16,18,652,6,66
