generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.496655,0.493,2.0753451338642512,450.435,129,109,132,143,134,114,127,112
1,0.360185,0.3886666666666666,1.980090594948815,386.907,210,105,145,84,201,108,110,37
2,0.237965,0.29033333333333333,1.7294859021214255,324.311,355,84,116,19,237,107,64,18
3,0.160905,0.23933333333333331,1.5169752416179398,281.123,453,75,58,20,251,110,25,8
4,0.12401,0.20966666666666667,1.3514518664502695,259.118,519,92,29,9,217,123,6,5
5,0.141935,0.21433333333333332,1.3315831299755498,265.769,533,112,15,10,168,151,7,4
6,0.149725,0.2243333333333333,1.3154026287545701,269.031,522,128,11,7,147,178,4,3
7,0.18263,0.24633333333333332,1.3066506661564508,283.398,498,155,6,4,111,218,1,7
8,0.20741,0.2686666666666666,1.3390870508456294,294.204,462,159,7,6,111,248,0,7
9,0.247185,0.30666666666666664,1.3772861707574346,310.461,408,162,4,7,108,299,2,10
10,0.317685,0.3446666666666666,1.371629105945458,341.967,354,169,6,6,92,362,2,9
11,0.483045,0.4443333333333333,1.2553887491753553,409.037,217,156,5,3,81,528,1,9
12,0.65816,0.5356666666666666,1.0603188651828699,477.902,100,140,1,10,65,671,0,13
13,0.78907,0.592,0.8093119100414385,527.446,55,99,1,6,34,785,0,20
14,0.863665,0.627,0.6011133822126395,553.945,26,63,0,4,25,860,1,21
15,0.92823,0.656,0.4406203885423913,577.864,3,46,0,0,16,899,0,36
16,0.95186,0.6696666666666666,0.40749303913056556,585.062,0,26,0,3,14,908,0,49
17,0.963025,0.6746666666666666,0.3925990789303584,590.563,0,25,0,3,6,910,1,55
18,0.949845,0.6733333333333332,0.4270807781018161,583.477,0,16,0,3,19,904,3,55
19,0.95762,0.6733333333333332,0.39945485638143713,586.358,0,16,0,4,15,912,2,51
20,0.95421,0.6743333333333332,0.3810631641485402,583.822,1,11,0,2,18,914,0,54
21,0.96659,0.6763333333333332,0.31263705982274387,587.914,0,6,0,0,14,930,1,49
22,0.98206,0.6783333333333332,0.27000269834300006,594.466,0,7,0,0,5,940,1,47
23,0.95913,0.6763333333333332,0.3976905427946518,587.406,0,21,0,1,11,906,0,61
24,0.98146,0.681,0.31425730534677065,594.852,0,12,0,0,4,925,0,59
25,0.971905,0.6793333333333332,0.35933527986803504,590.625,0,12,0,3,9,917,0,59
26,0.969075,0.6773333333333332,0.3449075325999754,589.973,0,11,0,1,12,921,0,55
27,0.95781,0.6733333333333332,0.3460707523438927,586.178,0,15,0,0,13,923,1,48
28,0.95958,0.673,0.3630854306442576,587.976,0,20,0,1,11,918,0,50
29,0.970415,0.678,0.33401876411786885,591.099,0,15,0,0,7,922,0,56
30,0.962385,0.6746666666666666,0.3580701277109387,588.201,0,16,0,1,11,920,1,51
31,0.95901,0.6723333333333332,0.3743448866623641,588.384,0,25,0,0,8,915,2,50
32,0.961235,0.6776666666666666,0.386898129644398,587.333,0,13,0,0,13,911,4,59
33,0.96573,0.682,0.4061148372609182,587.864,1,7,0,1,14,904,4,69
34,0.9612,0.6793333333333332,0.41433796574845755,587.546,1,13,0,1,12,904,4,65
35,0.96342,0.677,0.39173653807930775,588.266,0,12,0,0,14,911,6,57
36,0.968975,0.679,0.3624474689719502,588.641,0,5,0,2,17,916,1,59
37,0.96649,0.681,0.36697410053807805,588.498,0,8,0,1,14,912,0,65
38,0.973635,0.6823333333333332,0.37709277760660015,591.385,0,9,0,3,10,911,1,66
39,0.973025,0.6816666666666666,0.3766911620053018,591.929,1,12,0,3,6,912,1,65
40,0.961465,0.678,0.4219326581358661,587.459,1,17,0,5,10,903,1,63
41,0.980255,0.6836666666666666,0.3815302670619348,594.821,0,15,0,4,3,908,1,69
42,0.95731,0.6856666666666666,0.50301616092258,586.988,0,20,0,5,10,874,4,87
43,0.968,0.6863333333333332,0.48031045958448876,591.098,1,18,1,4,7,880,2,87
44,0.964985,0.689,0.5152893900570349,588.891,1,14,0,5,15,866,1,98
45,0.97034,0.6903333333333332,0.48963716056272727,591.136,0,12,0,6,10,875,4,93
46,0.962515,0.6853333333333332,0.48254220213625904,588.113,0,14,0,6,13,881,3,83
47,0.95378,0.6873333333333332,0.5255801173913317,585.376,0,14,1,3,16,867,6,93
48,0.942755,0.6793333333333332,0.5347114421900913,580.873,1,16,2,3,21,872,6,79
49,0.953155,0.6803333333333332,0.4855198647609041,585.189,1,22,0,1,12,882,5,77
50,0.95806,0.685,0.48889565469681456,587.302,0,19,0,1,8,879,11,82
51,0.96207,0.6826666666666666,0.44468406022855606,588.366,1,15,0,1,10,893,5,75
52,0.962625,0.679,0.4430764511845817,588.861,2,19,1,1,7,897,5,68
53,0.956975,0.6773333333333332,0.4711902742108236,586.967,1,20,0,4,11,892,7,65
54,0.940965,0.6793333333333332,0.5208338191858317,581.131,0,20,0,3,19,874,7,77
55,0.95563,0.6836666666666666,0.49705605190981617,586.21,0,16,0,5,15,878,4,82
56,0.95188,0.681,0.4784670307013289,583.274,0,13,0,5,20,884,2,76
57,0.96847,0.6843333333333332,0.4267103320172294,589.738,1,12,0,2,10,896,2,77
58,0.97364,0.687,0.4488455057112706,592.194,0,14,0,7,5,890,4,80
59,0.97446,0.6866666666666666,0.42257992391854277,591.984,0,14,0,3,7,894,1,81
60,0.972735,0.6866666666666666,0.4391126188222962,591.255,0,13,0,5,7,892,3,80
61,0.95923,0.6836666666666666,0.4821002982040929,587.9,0,19,1,4,10,882,3,81
62,0.96771,0.6923333333333332,0.5190454902585842,590.802,0,17,0,5,7,864,6,101
63,0.95884,0.684,0.47531856637640235,587.328,0,15,1,2,11,885,7,79
64,0.962575,0.6823333333333332,0.43790868881543815,588.587,0,15,0,1,12,894,4,74
