generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.49282,0.501,2.0776442219010236,444.872,125,139,112,119,127,125,122,131
1,0.33281,0.3773333333333333,1.7814153384314255,361.23,198,363,61,100,74,136,42,26
2,0.293385,0.35766666666666663,1.5197131349596382,339.269,181,496,40,94,46,114,12,17
3,0.29875,0.3723333333333333,1.2934969267400225,340.354,138,584,19,89,17,137,3,13
4,0.305795,0.3926666666666666,1.1630490472242916,342.941,90,637,9,90,9,149,3,13
5,0.30966,0.4083333333333333,1.0104297858957925,347.326,45,682,6,74,6,177,1,9
6,0.33713,0.42233333333333334,0.9284051967835499,357.964,22,691,1,98,2,180,1,5
7,0.36408,0.42966666666666664,0.9399307441186598,367.634,18,682,1,116,0,174,1,8
8,0.3733,0.43266666666666664,0.9180432251263909,370.75,11,687,2,118,0,173,0,9
9,0.395945,0.43766666666666665,0.9475206076549794,378.901,10,676,2,136,0,164,1,11
10,0.38913,0.43566666666666665,0.9635740199837223,377.798,15,666,4,132,0,176,0,7
11,0.38659,0.4353333333333333,0.9375062045834925,376.698,7,681,5,128,2,169,0,8
12,0.38408,0.43,0.8961839894310076,374.654,6,700,4,134,1,148,0,7
13,0.416465,0.442,0.9793014964892548,385.947,11,658,3,157,1,160,0,10
14,0.42149,0.445,0.972670276385185,388.882,9,658,1,164,1,154,0,13
15,0.435805,0.444,0.9835938454966396,394.943,13,649,2,172,0,155,0,9
16,0.438835,0.44466666666666665,0.9772540988882596,394.151,10,653,3,169,0,155,0,10
17,0.436135,0.444,0.9625255587668672,393.567,6,660,4,166,1,154,0,9
18,0.42435,0.44266666666666665,0.9607923346196262,388.208,9,666,0,164,1,146,1,13
19,0.43579,0.4443333333333333,0.9483399237018569,392.2,7,659,2,180,0,144,0,8
20,0.4435,0.4443333333333333,0.9590318154580945,395.908,8,657,2,185,0,139,1,8
21,0.43127,0.43966666666666665,0.9680676299182264,389.162,12,664,4,184,0,125,0,11
22,0.42517,0.43666666666666665,0.9377852417464498,385.636,10,682,0,168,2,124,0,14
23,0.429785,0.43966666666666665,0.9785793110538794,386.425,10,672,4,183,3,110,0,18
24,0.44876,0.4453333333333333,1.0077400601265918,394.628,15,653,3,193,0,114,0,22
25,0.450385,0.448,0.9988256429233032,396.621,11,649,4,203,0,114,0,19
26,0.40654,0.435,0.9434007002965191,377.414,9,688,2,179,3,102,1,16
27,0.471125,0.4516666666666666,1.0440254845602028,403.667,13,628,4,208,3,128,0,16
28,0.44408,0.44266666666666665,0.9785190970544865,392.592,9,661,2,189,3,123,1,12
29,0.466465,0.4473333333333333,0.9734117682880477,400.417,8,643,2,230,4,105,1,7
30,0.46246,0.44666666666666666,0.9778151148861585,400.22,9,647,4,214,1,115,0,10
31,0.501535,0.455,1.0024719882892812,415.623,8,623,4,248,3,103,0,11
32,0.48661,0.4496666666666666,0.9978514059289568,408.104,15,629,3,239,0,103,0,11
33,0.48576,0.446,0.9653126139920448,407.69,9,645,5,238,2,93,0,8
34,0.495935,0.4486666666666666,0.9622016343392216,410.853,11,637,4,251,0,88,0,9
35,0.462945,0.44,0.971602056237169,396.959,15,654,6,223,0,92,0,10
36,0.480925,0.4486666666666666,1.0063584878437217,405.651,17,634,2,230,0,101,0,16
37,0.46935,0.44266666666666665,0.9878773894569612,399.79,16,646,6,229,0,91,0,12
38,0.45565,0.4343333333333333,0.9724823446671993,395.104,18,664,7,208,0,93,0,10
39,0.45856,0.442,0.9872542516744985,396.044,18,650,3,221,0,93,0,15
40,0.44358,0.43766666666666665,0.943453147445637,390.332,14,666,2,208,0,101,0,9
41,0.460715,0.4443333333333333,0.9214784787551585,397.175,7,660,1,222,0,102,0,8
42,0.46495,0.4473333333333333,0.9375532490961284,398.678,5,658,2,216,0,107,0,12
43,0.431345,0.438,0.9067615680362867,386.193,5,680,4,198,0,105,0,8
44,0.463045,0.44566666666666666,0.9781643439382925,398.731,10,652,3,218,2,101,0,14
45,0.45673,0.4403333333333333,0.9914321051588614,396.65,17,653,3,205,1,109,0,12
46,0.47717,0.449,0.9874163997314053,404.714,11,640,2,230,2,102,0,13
47,0.4733,0.4483333333333333,0.9658443369919362,403.08,10,646,0,228,2,101,0,13
48,0.446225,0.43966666666666665,0.9671622750952845,390.887,13,663,2,211,3,95,0,13
49,0.452095,0.4433333333333333,0.969957717800085,393.125,13,656,0,217,3,96,0,15
50,0.438065,0.44066666666666665,0.9404094267660164,387.673,9,669,4,211,0,94,0,13
51,0.47346,0.4493333333333333,0.98315044488588,402.41,11,645,2,221,0,104,0,17
52,0.44815,0.442,0.9520805806516477,393.238,13,652,1,220,1,107,0,6
53,0.430735,0.437,0.9528991605821117,386.525,12,668,6,202,0,103,0,9
54,0.43637,0.43566666666666665,0.977944434600329,389.724,14,665,10,198,0,103,0,10
55,0.43594,0.43666666666666665,0.9846063869535884,389.434,15,665,7,198,1,101,0,13
56,0.458795,0.44166666666666665,1.0000419424661349,398.551,15,647,6,206,1,116,0,9
57,0.462915,0.4423333333333333,0.9927873801997519,401.115,16,639,6,210,0,125,0,4
58,0.440915,0.437,0.9669434598578859,391.077,14,661,7,203,0,108,0,7
