generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.48432364729458915,0.501,2.0776442219010236,440.429,125,139,112,119,127,125,122,131
1,0.39384769539078157,0.41766666666666663,1.9199023397596524,390.556,181,278,61,119,105,151,46,59
2,0.39671843687374747,0.3953333333333333,1.7080424432938166,386.089,167,420,35,104,70,131,28,45
3,0.3798246492985972,0.414,1.613236626091724,375.889,103,498,41,105,58,120,30,45
4,0.3583216432865731,0.409,1.387788489281957,364.693,83,583,30,99,30,130,9,36
5,0.3313376753507014,0.4106666666666666,1.1883013871282417,353.171,46,659,22,100,23,119,3,28
6,0.28730460921843687,0.3933333333333333,1.0223963099521476,333.864,61,701,8,94,4,116,1,15
7,0.2528807615230461,0.397,0.8863994115128127,318.589,32,743,4,80,6,127,0,8
8,0.2170941883767535,0.389,0.8274413486928073,299.276,31,773,4,86,4,92,0,10
9,0.17077655310621243,0.38,0.6677784373674336,280.813,19,825,2,74,1,73,0,6
10,0.1469639278557114,0.3653333333333333,0.6319837234600278,269.664,31,844,1,46,3,69,0,6
11,0.13190380761523046,0.36266666666666664,0.5419217401048293,262.64,19,873,3,41,2,58,0,4
12,0.1634118236472946,0.3436666666666666,0.6474638866751121,274.945,64,838,2,44,3,47,0,2
13,0.17596693386773546,0.354,0.752151676704138,278.765,69,800,4,79,1,42,0,5
14,0.26196392785571143,0.35533333333333333,0.6819910120091163,314.714,55,820,3,76,1,45,0,0
15,0.26064629258517036,0.384,0.782685890448752,314.387,35,776,4,124,1,57,0,3
16,0.21392785571142284,0.364,0.7682452263747945,293.784,58,793,4,100,2,36,0,7
17,0.2534118236472946,0.36266666666666664,0.6727132782645633,304.137,49,821,3,100,0,17,0,10
18,0.27490480961923847,0.37466666666666665,0.6554464779220234,312.767,30,816,5,127,0,17,0,5
19,0.3582565130260521,0.396,0.6819531206968091,346.794,13,794,2,155,0,26,0,10
20,0.3643987975951904,0.41,0.7391168002682359,350.678,8,783,1,142,0,36,0,30
21,0.3587324649298597,0.42066666666666663,0.7885878782650309,351.451,8,739,0,190,0,46,0,17
22,0.25978957915831663,0.3936666666666666,0.6672804877480518,314.5,9,805,1,128,0,52,0,5
23,0.2708617234468938,0.3896666666666666,0.6846273544681968,324.452,13,805,2,102,0,76,0,2
24,0.23435871743486975,0.3936666666666666,0.7000040909666997,304.768,13,796,0,95,0,93,0,3
25,0.18275050100200402,0.38,0.5811478263744636,279.237,9,846,0,91,1,48,0,5
26,0.18534068136272544,0.371,0.503203803762669,281.784,7,880,2,62,0,40,0,9
27,0.17508016032064128,0.367,0.5388449463353007,275.6,19,867,0,72,0,36,0,6
28,0.16722444889779559,0.3673333333333333,0.5276090899299559,274.686,16,872,1,71,0,33,0,7
29,0.18718937875751504,0.369,0.5275394003793923,284.681,14,867,0,53,0,64,0,2
30,0.18592184368737474,0.37866666666666665,0.5224008499449183,282.594,3,860,0,76,0,59,0,2
31,0.1493887775551102,0.37,0.5057778970619068,265.816,7,875,0,61,3,52,0,2
32,0.1429759519038076,0.36366666666666664,0.4249831929550845,262.012,5,898,0,62,2,32,0,1
33,0.19153306613226453,0.3653333333333333,0.4718831331524595,283.46,11,885,0,66,0,35,0,3
34,0.23308617234468937,0.3783333333333333,0.581056089144691,304.212,11,841,2,98,0,48,0,0
35,0.24562625250501002,0.387,0.6289966878134775,313.853,8,824,1,86,0,79,0,2
36,0.21096693386773546,0.3823333333333333,0.7235938076047024,301.277,24,804,2,69,3,94,0,4
37,0.17170340681362725,0.3743333333333333,0.6309339621626721,282.592,20,832,4,50,1,93,0,0
38,0.20052605210420843,0.3663333333333333,0.6611988161585387,296.169,37,827,0,56,2,76,0,2
39,0.1817985971943888,0.37,0.7226571064986519,282.513,45,801,0,58,1,93,0,2
40,0.20545090180360723,0.344,0.7697569505972679,295.986,85,794,2,59,5,52,0,3
41,0.22642284569138277,0.3803333333333333,0.88444209953624,306.386,56,744,1,79,6,110,0,4
42,0.17478957915831664,0.357,0.7541319780405354,281.672,61,801,1,61,7,67,0,2
43,0.17983466933867737,0.35933333333333334,0.662944189164654,283.331,38,838,2,49,8,62,1,2
44,0.19049098196392786,0.3733333333333333,0.7311036422796794,289.248,28,816,2,63,8,74,7,2
45,0.1834318637274549,0.36766666666666664,0.6377819447207506,288.255,28,836,0,50,6,79,0,1
46,0.1772244488977956,0.375,0.6533195978996925,283.952,25,828,0,49,2,91,0,5
47,0.2155060120240481,0.371,0.6298137439809601,304.291,25,838,1,60,1,72,0,3
48,0.21173346693386774,0.378,0.8180905820919302,300.108,26,785,33,65,1,85,0,5
49,0.20143286573146293,0.364,0.6305131246436131,292.792,29,846,5,43,2,71,1,3
50,0.22503507014028057,0.3833333333333333,0.7923385383829797,302.497,28,784,11,87,2,85,0,3
51,0.15661322645290582,0.37166666666666665,0.6364336352826951,271.788,18,844,7,68,3,55,0,5
52,0.15449899799599198,0.3693333333333333,0.5648026942523141,271.25,14,863,3,51,2,63,0,4
53,0.22017535070140282,0.3703333333333333,0.5516893930959783,299.975,14,867,2,55,0,54,0,8
54,0.21687374749498997,0.3946666666666666,0.6976748595714504,299.8,14,821,1,43,1,85,0,35
55,0.20965430861723447,0.394,0.6744877351929423,299.729,8,816,0,62,1,98,0,15
56,0.22624248496993987,0.37766666666666665,0.5716305013684868,303.844,9,849,0,42,3,94,0,3
57,0.2506713426853707,0.3876666666666666,0.636527001810014,315.596,10,818,0,96,0,75,0,1
58,0.22377755511022043,0.3903333333333333,0.6828705635195647,301.398,14,803,0,85,0,96,0,2
59,0.20904809619238476,0.371,0.6745821765949871,293.44,34,821,1,77,0,64,0,3
60,0.1743937875751503,0.376,0.5907919961390182,278.983,14,848,1,74,0,58,0,5
61,0.1868386773547094,0.36266666666666664,0.5416628654759585,282.179,21,871,3,57,0,44,0,4
62,0.2068987975951904,0.371,0.5843350475322686,289.187,21,847,1,93,0,35,0,3
63,0.23335170340681363,0.376,0.5699495920838455,298.979,14,848,0,97,0,37,0,4
64,0.24910821643286574,0.377,0.5959695260793582,305.418,15,838,1,104,1,40,0,1
65,0.26905811623246495,0.38166666666666665,0.6193885200434054,312.422,12,831,3,113,1,36,0,4
66,0.3031412825651303,0.3876666666666666,0.6688869562290986,327.107,15,804,6,142,0,30,0,3
67,0.267249498997996,0.38,0.6694280688561556,314.059,23,814,1,112,1,47,0,2
68,0.25380260521042086,0.38066666666666665,0.6313205268592135,310.195,14,825,6,115,0,39,0,1
69,0.3348797595190381,0.3896666666666666,0.688627315309519,347.586,14,804,3,120,0,55,0,4
70,0.34202905811623247,0.406,0.8362434131826784,348.697,15,745,9,141,1,86,0,3
71,0.28561623246492984,0.3916666666666666,0.7291004085099008,326.127,16,797,6,126,0,44,1,10
72,0.303937875751503,0.3876666666666666,0.7419045439353459,336.172,22,788,3,95,2,90,0,0
73,0.25430861723446896,0.3886666666666666,0.7486459926078346,311.158,21,793,4,102,1,73,0,6
74,0.2869839679358717,0.3886666666666666,0.7361851309854412,322.95,18,801,4,101,2,65,0,9
75,0.2829308617234469,0.397,0.7255786413583196,321.753,10,792,4,127,1,58,0,8
76,0.3041382765531062,0.3936666666666666,0.746566562916467,328.772,17,789,2,120,2,62,0,8
77,0.30539078156312627,0.3996666666666666,0.776875751197832,330.44,13,776,4,140,5,52,0,10
78,0.2921142284569138,0.3943333333333333,0.7454044222459529,328.196,15,802,4,103,2,53,0,21
79,0.30448897795591184,0.409,0.8055034609363987,333.88,11,765,3,114,0,90,0,17
80,0.23789078156312626,0.3893333333333333,0.6786158047303779,306.033,11,816,2,99,1,62,0,9
81,0.2042134268537074,0.37566666666666665,0.6660618592323398,292.765,25,827,1,72,1,68,0,6
82,0.20677354709418838,0.377,0.7621136337077647,293.514,36,796,3,80,3,77,0,5
83,0.2286823647294589,0.37,0.6469012343457567,305.959,26,832,1,67,5,69,0,0
84,0.2291633266533066,0.3936666666666666,0.7276367035104244,308.431,16,789,2,71,0,118,0,4
85,0.22799098196392786,0.3873333333333333,0.6893541429304146,311.525,15,810,2,52,2,113,0,6
86,0.2839128256513026,0.4026666666666666,0.7016038628643789,339.277,6,783,2,47,0,156,1,5
87,0.26150300601202403,0.4063333333333333,0.8385397687913689,328.764,24,728,2,34,7,199,2,4
88,0.23711422845691382,0.3993333333333333,0.7675982184401949,316.796,19,760,1,44,5,169,0,2
89,0.21562124248496994,0.3833333333333333,0.6419006220227585,305.026,13,824,0,53,3,104,0,3
90,0.1989428857715431,0.392,0.6724830454761386,297.591,9,810,1,50,2,121,0,7
91,0.16717935871743486,0.3803333333333333,0.592974691382639,280.613,9,843,2,42,1,98,0,5
92,0.18180861723446895,0.3733333333333333,0.5546289468756482,293.005,11,858,3,31,1,92,0,4
93,0.17680360721442887,0.3863333333333333,0.6303486027403779,288.934,8,820,5,40,1,125,0,1
94,0.21398296593186372,0.37466666666666665,0.5844186425419817,305.685,14,847,0,44,3,90,0,2
95,0.23753507014028055,0.385,0.7504194613170295,315.844,30,786,2,53,1,124,0,4
96,0.23956412825651302,0.3923333333333333,0.7193399719375777,321.701,18,788,2,46,1,141,0,4
97,0.2909018036072144,0.3946666666666666,0.8046764427397154,346.564,30,754,3,42,3,164,0,4
98,0.2922294589178357,0.4046666666666666,0.8779715677987728,347.067,38,711,2,40,3,200,0,6
99,0.31478456913827657,0.41466666666666663,0.9094169007676574,356.009,16,717,5,56,12,183,1,10
