generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.49282,0.501,2.0776442219010236,444.872,125,139,112,119,127,125,122,131
1,0.361765,0.3936666666666666,1.9996970931851763,381.939,202,178,124,75,166,109,93,53
2,0.26874,0.317,1.845681853216895,334.032,318,152,105,47,182,113,57,26
3,0.20066,0.2596666666666666,1.6566678053078572,300.232,408,148,72,39,194,103,27,9
4,0.182785,0.23,1.4819288366767915,287.707,492,121,46,39,162,131,6,3
5,0.17545,0.2273333333333333,1.396441155905576,281.634,518,115,30,26,139,166,4,2
6,0.173045,0.23066666666666666,1.3901115156378496,281.447,514,139,24,23,120,173,4,3
7,0.18742,0.237,1.3410276315021727,286.778,519,141,19,13,95,205,4,4
8,0.234895,0.2683333333333333,1.3577089104135076,306.759,475,153,14,12,85,252,2,7
9,0.250075,0.287,1.3187924184657045,311.339,455,143,7,10,84,295,1,5
10,0.28657,0.32,1.355159462472097,327.76,401,159,7,4,84,331,2,12
11,0.359225,0.363,1.3654750976184507,358.141,347,138,11,5,82,400,3,14
12,0.529665,0.4683333333333333,1.231022499592642,426.097,206,131,2,4,71,563,2,21
13,0.68755,0.5576666666666666,1.0604966107178315,487.198,100,103,1,4,63,688,1,40
14,0.819485,0.618,0.8349772893932128,536.761,42,68,2,7,41,790,1,49
15,0.87731,0.6436666666666666,0.6764122992160257,559.91,8,69,3,6,28,837,2,47
16,0.93803,0.6663333333333332,0.5175137664795952,580.642,4,34,1,5,13,884,4,55
17,0.95418,0.675,0.45697683587825705,584.834,2,17,0,4,15,897,4,61
18,0.968275,0.6803333333333332,0.39911207657215353,589.249,0,8,0,5,14,908,2,63
19,0.956255,0.6773333333333332,0.4137540334115088,585.731,0,13,0,2,13,907,7,58
20,0.95835,0.674,0.39717427425156865,587.586,0,19,0,2,11,912,4,52
21,0.961775,0.68,0.4386931575972,587.743,0,17,0,3,11,897,4,68
22,0.97489,0.6796666666666666,0.3888848805072964,592.726,1,12,0,6,6,913,3,59
23,0.97108,0.6853333333333332,0.4343027826570651,590.596,0,11,0,7,9,895,2,76
24,0.96171,0.6793333333333332,0.4467727944526464,587.69,1,13,0,8,12,898,3,65
25,0.96686,0.681,0.4088600071480789,588.294,0,7,0,6,15,905,2,65
26,0.9601,0.6783333333333332,0.40562133166367687,585.932,0,8,0,3,19,906,2,62
27,0.971805,0.6793333333333332,0.3385134616895686,589.747,0,4,0,5,13,923,0,55
28,0.9755,0.6813333333333332,0.3328572070182028,591.448,0,6,0,2,10,922,0,60
29,0.974915,0.6846666666666666,0.37297692670440635,591.619,0,9,0,3,8,909,0,71
30,0.97381,0.6816666666666666,0.38177925307901067,591.736,0,10,0,5,8,912,2,63
31,0.973405,0.6786666666666666,0.37997274275879006,592.089,0,16,0,4,7,913,1,59
32,0.96488,0.677,0.398319746560841,590.172,1,18,0,1,7,910,5,58
33,0.96151,0.676,0.3924419966821992,588.376,0,16,0,3,10,913,4,54
34,0.948985,0.6693333333333332,0.405609023753378,583.703,2,23,0,1,15,909,0,50
35,0.943685,0.6706666666666666,0.41806382035574846,581.611,1,20,0,3,18,906,0,52
36,0.935555,0.667,0.45832124443784433,578.145,2,24,0,8,18,900,1,47
37,0.943825,0.67,0.46697127969535146,583.045,0,34,0,3,15,889,0,59
38,0.96224,0.676,0.40198517433921604,588.698,0,20,0,2,12,906,0,60
39,0.97507,0.6773333333333332,0.35094127728704233,593.258,0,21,0,2,3,918,0,56
