generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.50533,0.5026666666666666,2.0761340768261207,225.921,128,127,134,120,104,139,119,129
1,0.47271,0.513,1.850626621951458,209.545,91,136,55,51,175,347,58,87
2,0.62696,0.578,1.4004660184828255,233.838,46,108,14,21,137,570,19,85
3,0.78,0.6236666666666666,0.9538193018610039,260.414,14,55,3,24,97,748,5,54
4,0.90369,0.656,0.5374092512894489,282.971,3,22,3,6,41,882,3,40
5,0.94844,0.6626666666666666,0.339867806690914,290.958,0,16,1,2,23,930,0,28
6,0.9717,0.6706666666666666,0.2349739131977222,294.862,0,5,0,0,13,952,0,30
7,0.98046,0.671,0.1971107720371042,296.556,0,4,0,0,8,962,1,25
8,0.98763,0.6723333333333332,0.192753955360052,298.355,0,8,0,0,2,962,1,27
9,0.98621,0.6683333333333332,0.14961359896745094,297.949,0,7,0,0,4,973,0,16
10,0.98378,0.6686666666666666,0.16308283737794277,297.514,0,7,0,0,5,970,0,18
11,0.97845,0.667,0.17003654712332222,296.305,0,7,0,0,8,969,0,16
12,0.97852,0.6653333333333332,0.13651660009480682,296.17,0,4,0,0,9,977,1,9
13,0.97898,0.666,0.14631917485784482,296.41,0,5,0,0,8,975,1,11
14,0.97991,0.666,0.1481990473460775,296.647,0,7,0,0,7,974,0,12
15,0.97836,0.665,0.1529883112650633,296.684,0,10,0,0,6,973,0,11
16,0.97216,0.665,0.16900971041467888,295.004,1,5,0,0,11,970,0,13
17,0.98774,0.669,0.13778468673246655,298.054,0,4,0,0,4,976,1,15
18,0.97556,0.668,0.18841480495573937,295.632,1,5,0,0,9,965,0,20
19,0.9863,0.6693333333333332,0.14350367537470218,297.67,0,4,0,0,5,974,0,17
20,0.98048,0.6683333333333332,0.15855494164038672,296.512,0,4,0,0,8,971,0,17
21,0.98734,0.67,0.14109712641168873,297.582,0,2,0,0,6,974,0,18
22,0.9783,0.6686666666666666,0.2055168895687335,296.87,0,12,0,0,5,960,0,23
23,0.98148,0.667,0.13186157093543935,296.612,0,3,0,0,8,977,0,12
24,0.97742,0.6646666666666666,0.14883842606095427,296.398,0,9,0,0,7,974,0,10
25,0.98142,0.668,0.15499145688119612,296.798,0,5,0,0,7,972,0,16
26,0.98044,0.6656666666666666,0.13228323988150203,296.652,0,5,0,0,7,978,1,9
27,0.9766,0.666,0.1468707610584319,295.74,0,4,0,0,10,974,0,12
28,0.98706,0.6693333333333332,0.16623912502254864,298.514,0,11,0,0,1,968,0,20
29,0.98384,0.6703333333333332,0.1736046535233797,297.328,0,5,0,0,6,967,0,22
30,0.9863,0.6696666666666666,0.14752250836237313,297.67,0,4,0,0,5,973,0,18
31,0.98039,0.668,0.17326118476550517,296.791,0,7,0,0,7,968,0,18
32,0.98224,0.667,0.15970849687630745,297.256,0,10,0,0,4,971,0,15
33,0.9736,0.6656666666666666,0.17106084546804334,295.44,0,7,0,0,10,969,0,14
34,0.97681,0.6653333333333332,0.18356336364994325,296.623,0,13,0,0,6,966,0,15
35,0.97748,0.6676666666666666,0.17812173885584465,296.212,0,7,0,0,8,967,0,18
36,0.9853,0.6696666666666666,0.15686155853875725,297.47,0,5,0,0,5,971,0,19
37,0.9832,0.6686666666666666,0.1846266923666177,297.648,0,10,0,0,3,966,2,19
38,0.98138,0.6696666666666666,0.18864968585378566,296.6,0,4,0,2,8,965,0,21
39,0.98618,0.669,0.15694221742568662,298.042,0,8,0,0,3,971,0,18
40,0.98036,0.6673333333333332,0.16503058092098793,296.884,0,8,0,0,6,970,0,16
41,0.98236,0.6686666666666666,0.1632502843527638,297.084,0,6,0,0,6,970,0,18
42,0.98524,0.6663333333333332,0.12364840152296021,297.756,0,7,0,0,4,979,0,10
43,0.98826,0.6673333333333332,0.10432919113693244,297.862,1,2,0,0,4,983,0,10
44,0.97935,0.665,0.15149773207971878,296.583,1,8,0,0,6,974,0,11
45,0.97996,0.6656666666666666,0.1339032471067887,296.556,0,5,0,0,8,977,0,10
46,0.97803,0.6663333333333332,0.15197501460595772,296.075,0,5,0,0,9,973,0,13
47,0.98812,0.6673333333333332,0.12588611519207116,298.328,0,8,0,0,2,978,0,12
48,0.98132,0.6693333333333332,0.1875339680972146,297.124,0,8,0,0,5,965,1,21
49,0.98624,0.6696666666666666,0.15666020340325035,297.756,0,6,0,0,4,971,0,19
50,0.9862,0.6713333333333332,0.18296116134727347,297.996,0,7,0,0,3,965,1,24
51,0.9746,0.669,0.20173909724600678,295.54,0,6,0,0,10,961,0,23
52,0.98436,0.6733333333333332,0.1971676701850179,297.284,0,4,0,0,6,960,0,30
53,0.98279,0.6686666666666666,0.17190355599463897,297.319,0,8,0,0,5,968,0,19
54,0.98474,0.6666666666666666,0.13606842344268952,297.754,0,7,0,0,4,977,1,11
55,0.98044,0.666,0.13691740839584018,296.676,0,5,0,0,7,977,1,10
56,0.98659,0.669,0.17117004456552343,298.271,0,9,0,0,1,969,4,17
57,0.98242,0.6693333333333332,0.1616672005336023,296.898,0,4,0,0,7,970,0,19
58,0.9746,0.6676666666666666,0.1908166497365032,295.346,0,4,0,2,11,965,0,18
59,0.95314,0.6623333333333332,0.23765001799598803,291.52,0,8,0,1,20,955,1,15
60,0.98135,0.6666666666666666,0.15542529750439865,296.885,0,6,0,1,7,973,0,13
61,0.97349,0.6653333333333332,0.19039587576005926,295.619,0,9,0,2,9,966,0,14
