generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.50731,0.5053333333333333,2.0706059920014344,454.396,104,143,124,150,115,116,142,106
1,0.543025,0.47966666666666663,1.9883066208545452,464.531,128,133,170,246,91,73,70,89
2,0.569505,0.4686666666666666,1.868758468889556,474.699,124,121,202,316,72,54,62,49
3,0.564035,0.4613333333333333,1.7794141347142696,471.679,124,121,232,341,59,35,44,44
4,0.59707,0.4636666666666666,1.6538558626831399,484.76,122,105,261,383,34,27,33,35
5,0.59831,0.4583333333333333,1.6082434073677587,484.54,125,112,276,382,18,29,27,31
6,0.59786,0.4506666666666666,1.5258496906481933,483.266,125,106,307,386,11,19,20,26
7,0.59564,0.4393333333333333,1.4326756351659602,480.02,144,86,303,417,15,18,7,10
8,0.59356,0.434,1.3795308187054995,481.404,145,96,311,418,8,7,8,7
9,0.582855,0.428,1.33953368337565,475.379,145,107,319,412,5,6,1,5
10,0.58314,0.4333333333333333,1.3349141100994941,476.2,133,102,326,417,13,0,2,7
11,0.586005,0.43166666666666664,1.3684931393181947,477.631,127,106,340,399,11,2,9,6
12,0.595375,0.441,1.3347483096698014,481.901,123,93,336,423,7,4,9,5
13,0.60352,0.454,1.3215408763244016,487.362,111,84,332,442,7,1,16,7
14,0.586235,0.44466666666666665,1.326351384504496,480.149,127,83,335,428,4,1,12,10
15,0.575305,0.4323333333333333,1.2713246974597807,477.261,136,66,371,410,1,1,8,7
16,0.580285,0.42966666666666664,1.2503720311454465,477.729,124,75,388,401,2,0,8,2
17,0.58239,0.4323333333333333,1.26076775304133,479.016,117,77,390,401,5,0,7,3
18,0.5826,0.43566666666666665,1.2600211629639237,478.242,112,73,396,402,5,1,6,5
19,0.57676,0.4313333333333333,1.279380348234274,475.902,126,75,382,400,5,2,2,8
20,0.567055,0.4283333333333333,1.278649497794676,473.491,120,84,393,388,4,1,4,6
21,0.47828,0.33,1.0694069723477913,428.796,160,42,642,140,7,1,7,1
22,0.45901,0.2843333333333333,0.7891342690654068,413.924,192,11,746,29,7,0,14,1
23,0.44326,0.2613333333333333,0.7374032247368223,407.724,238,8,727,13,5,0,9,0
24,0.423315,0.243,0.7544533726072362,400.995,285,6,687,7,8,0,7,0
25,0.417145,0.2363333333333333,0.777632727968534,400.163,305,7,665,3,9,0,11,0
26,0.407925,0.22333333333333333,0.7403295249129234,398.027,339,1,644,5,7,0,4,0
27,0.39218,0.2053333333333333,0.7733220904554086,395.882,390,5,592,2,7,0,4,0
