generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.47940881763527055,0.495,2.0775470413254755,441.076,123,123,145,118,125,122,120,124
1,0.4644739478957916,0.37,1.6577346819700973,447.371,205,36,418,115,59,17,117,33
2,0.477439879759519,0.318,1.036340971336907,435.555,168,7,678,35,28,0,81,3
3,0.4871993987975952,0.30366666666666664,0.6112856680891426,421.015,121,0,831,13,17,0,17,1
4,0.48492985971943886,0.30966666666666665,0.4642549052708323,415.396,92,1,879,3,7,0,18,0
5,0.49404809619238477,0.31366666666666665,0.33489915960367,411.416,71,0,916,3,1,0,9,0
6,0.4963076152304609,0.32066666666666666,0.26023894942499365,413.301,46,1,943,3,2,0,5,0
7,0.4954759519038076,0.31366666666666665,0.31174639350147515,415.853,68,1,922,7,0,0,2,0
8,0.4950350701402806,0.3133333333333333,0.29181031788609635,416.365,67,0,926,3,0,0,4,0
9,0.49339178356713426,0.312,0.31513900285125557,413.385,73,0,918,1,0,0,8,0
10,0.4962374749498998,0.31366666666666665,0.29739131139098984,411.079,67,0,925,4,0,0,4,0
11,0.49513527054108214,0.319,0.2600012052308369,409.395,52,0,939,7,0,0,2,0
12,0.4937374749498998,0.318,0.3153399936213872,411.822,61,0,924,4,0,0,11,0
13,0.49569639278557115,0.31766666666666665,0.2886114391637488,406.653,57,1,932,4,0,0,6,0
14,0.4982314629258517,0.323,0.22511186032626343,408.605,40,0,951,5,0,0,4,0
15,0.4992134268537074,0.3293333333333333,0.14896994039502226,403.119,20,0,972,2,0,0,6,0
16,0.49890280561122247,0.3316666666666666,0.13107265031107465,406.789,14,0,977,4,0,0,5,0
17,0.49894789579158316,0.328,0.2657750842214698,408.198,36,0,944,12,0,0,8,0
18,0.4979408817635271,0.33,0.2297190268681869,406.775,28,0,954,8,0,0,10,0
19,0.49690881763527056,0.3263333333333333,0.22627409009997748,405.909,34,0,953,6,0,0,7,0
20,0.4988877755511022,0.3283333333333333,0.1569181175108982,403.204,21,1,971,5,1,0,1,0
21,0.49847695390781566,0.3303333333333333,0.16557367609703805,405.766,20,0,969,4,0,0,7,0
22,0.49743987975951903,0.3273333333333333,0.22395637676868405,405.897,32,0,954,9,0,0,5,0
23,0.49722945891783565,0.3266666666666666,0.22292545902932237,407.199,33,0,954,7,0,0,6,0
24,0.49837675350701405,0.3236666666666666,0.23325583537561226,408.48,40,0,949,9,0,0,2,0
