generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.50343,0.5003333333333333,2.0771985467222263,450.482,118,145,118,118,124,123,130,124
1,0.33784,0.386,1.951739584751149,367.216,197,226,93,87,165,129,67,36
2,0.2802,0.358,1.7922640168973942,336.538,222,318,53,64,140,144,30,29
3,0.320315,0.368,1.7031376606167759,354.269,208,365,51,64,84,187,21,20
4,0.36999,0.4016666666666666,1.6240334123038105,374.968,167,395,28,75,61,235,16,23
5,0.412085,0.42966666666666664,1.502386044468394,391.357,136,424,15,63,31,287,13,31
6,0.447555,0.4566666666666666,1.4546360626052017,404.967,93,437,13,64,31,315,10,37
7,0.50156,0.486,1.4245335506094665,430.414,54,434,17,78,27,339,7,44
8,0.55947,0.5053333333333333,1.4033247733721295,453.186,50,396,13,106,17,372,4,42
9,0.5831,0.5106666666666666,1.3438472782676807,464.05,49,399,9,103,6,387,3,44
10,0.638125,0.541,1.4039777563693758,485.539,31,349,18,114,9,412,6,61
11,0.78337,0.61,1.307243466595262,533.69,27,172,12,95,16,585,9,84
12,0.84381,0.6406666666666666,1.185159507862651,550.814,17,104,12,78,28,657,4,100
13,0.869955,0.655,1.0424208803717798,558.659,10,75,8,60,29,716,5,97
14,0.915495,0.671,0.9065438845400702,574.381,8,56,5,49,16,757,3,106
15,0.929455,0.678,0.8000165607910951,579.753,3,51,3,28,13,789,6,107
16,0.943725,0.6793333333333332,0.6617140035299357,582.401,3,32,2,19,13,836,4,91
17,0.958615,0.6796666666666666,0.5205339667516928,587.687,2,22,1,11,8,878,4,74
18,0.959815,0.6826666666666666,0.5026912690115362,587.997,2,23,0,4,7,877,5,82
19,0.9613,0.688,0.4977997049375156,588.184,0,18,0,3,12,871,2,94
20,0.959475,0.684,0.4691419733961919,586.489,0,13,0,4,15,885,3,80
21,0.963225,0.6806666666666666,0.4000521936543837,587.269,2,7,0,2,12,908,4,65
22,0.962415,0.6786666666666666,0.3897261350169527,587.813,0,12,0,2,12,911,3,60
23,0.96338,0.678,0.3971301361736879,588.054,0,11,0,4,15,909,1,60
24,0.967785,0.6726666666666666,0.3517995191258677,590.617,0,20,0,2,8,923,1,46
25,0.954225,0.6666666666666666,0.3337794032830097,584.899,0,18,0,2,15,931,1,33
26,0.976485,0.6703333333333332,0.24708647998563113,593.273,0,14,0,1,5,950,0,30
27,0.96234,0.6683333333333332,0.2679095760398985,587.09,0,10,0,0,14,946,1,29
28,0.973715,0.6683333333333332,0.2268254352149133,591.371,1,10,0,0,8,956,0,25
29,0.97142,0.669,0.2423895055545644,591.596,0,14,0,0,7,951,0,28
30,0.97755,0.6703333333333332,0.2236531531745075,593.59,0,12,0,0,5,955,0,28
31,0.96794,0.6696666666666666,0.2935429291169907,590.552,0,18,0,0,7,939,2,34
32,0.97714,0.671,0.23773721239162027,592.564,0,8,0,1,7,954,2,28
33,0.98109,0.6706666666666666,0.2024772544393718,594.106,0,8,0,0,5,961,1,25
34,0.97761,0.6676666666666666,0.20272132714949723,593.266,0,11,0,0,6,962,1,20
35,0.96868,0.6683333333333332,0.25228406750276655,589.264,0,10,0,0,12,950,1,27
36,0.962425,0.667,0.29251704884252583,587.505,1,14,0,1,12,942,1,29
37,0.976425,0.6703333333333332,0.2364801431956101,592.447,0,9,1,0,8,953,0,29
38,0.97787,0.6716666666666666,0.2385513702773046,592.59,0,9,0,1,7,952,0,31
39,0.958395,0.6696666666666666,0.332757490619318,586.673,0,18,0,2,12,929,0,39
40,0.95579,0.669,0.3276939103269746,585.378,0,17,0,1,14,930,0,38
41,0.962465,0.667,0.305205944330208,589.029,0,20,0,2,9,938,1,30
42,0.967765,0.6683333333333332,0.28027691759159906,589.813,2,13,0,0,9,944,1,31
43,0.97269,0.6683333333333332,0.24368947516730172,591.654,0,14,0,0,8,951,0,27
44,0.970785,0.6706666666666666,0.2605551581331845,590.701,0,12,0,0,9,946,0,33
45,0.974165,0.6736666666666666,0.28163276722352987,591.845,0,12,0,0,7,940,1,40
46,0.97153,0.672,0.27392764862864427,590.848,0,11,0,0,10,942,0,37
47,0.97369,0.668,0.2419183158940789,593.29,0,20,0,0,3,950,0,27
48,0.978445,0.6696666666666666,0.2312025609742617,594.151,0,14,0,1,4,954,0,27
49,0.9691,0.6683333333333332,0.28827966295156576,590.932,0,18,0,2,8,941,0,31
