generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.4601102204408818,0.48866666666666664,2.076677101280286,429.386,125,141,121,123,128,131,125,106
1,0.41852705410821645,0.4493333333333333,2.044308579657564,408.846,145,187,124,85,143,137,87,92
2,0.35990981963927854,0.405,2.0102697666546985,383.798,199,147,131,73,171,135,82,62
3,0.2931112224448898,0.3413333333333333,1.8997737299806936,350.687,278,184,113,49,162,116,59,39
4,0.28409819639278555,0.3243333333333333,1.864010201885602,350.028,305,145,105,63,186,112,65,19
5,0.2605360721442886,0.3,1.7979360503117738,340.853,311,173,124,39,196,100,42,15
6,0.25399298597194386,0.295,1.7747257738127744,336.639,347,128,116,25,199,112,51,22
7,0.178812625250501,0.2696666666666666,1.63604754435364,296.281,392,112,70,12,236,124,43,11
8,0.15703907815631263,0.243,1.5432026667282248,284.103,451,103,48,8,227,102,52,9
9,0.14248997995991983,0.25266666666666665,1.5751131768656352,275.049,421,147,37,12,222,101,54,6
10,0.13571643286573146,0.22666666666666666,1.4881220365677694,271.857,470,126,49,7,212,105,24,7
11,0.13823647294589178,0.24866666666666665,1.5715725090464496,274.832,427,141,52,14,216,114,27,9
12,0.13754509018036074,0.2283333333333333,1.4795505992484572,274.714,476,114,30,10,223,93,50,4
13,0.14832665330661324,0.276,1.5741094251710048,279.11,369,150,30,8,258,140,41,4
14,0.15364729458917836,0.2693333333333333,1.5613714941495416,281.216,370,144,31,7,284,117,40,7
15,0.13432364729458918,0.271,1.5337101111188458,269.609,363,121,39,13,306,137,16,5
16,0.11026553106212425,0.2703333333333333,1.4183188359904146,255.739,368,96,13,13,347,151,9,3
17,0.12832665330661322,0.28633333333333333,1.4877034767246808,263.962,344,123,16,8,322,166,13,8
18,0.15013026052104209,0.307,1.502446117853152,274.412,332,135,15,6,279,214,5,14
19,0.16636773547094189,0.3203333333333333,1.5503499981183246,282.371,306,139,24,5,281,220,8,17
20,0.19334168336673346,0.356,1.5818512328059313,293.099,235,147,21,11,307,251,15,13
21,0.2483016032064128,0.361,1.543781000316782,316.361,241,193,10,7,248,278,7,16
22,0.3424749498997996,0.418,1.476824044843583,355.192,191,180,17,6,176,413,8,9
23,0.3854008016032064,0.4556666666666666,1.4103216504968663,373.574,157,183,1,4,156,466,12,21
24,0.5033316633266534,0.489,1.352347776997709,425.155,125,196,4,7,107,526,11,24
25,0.5952655310621242,0.5436666666666666,1.235527248246631,463.405,64,176,6,9,94,608,8,35
26,0.6600250501002004,0.568,1.288555297075243,492.817,37,186,15,27,73,601,9,52
27,0.662995991983968,0.5773333333333333,1.2833290772177104,492.558,29,187,38,21,43,610,14,58
28,0.6669839679358718,0.576,1.3474644468771273,489.91,39,157,25,24,76,598,17,64
29,0.7179208416833668,0.6053333333333333,1.3187204727210056,511.931,22,190,6,17,51,575,32,107
30,0.7791132264529058,0.6316666666666666,1.1278526131401654,533.611,10,153,0,19,34,656,26,102
31,0.7976553106212425,0.635,1.1795145834418734,538.64,15,140,3,39,20,652,33,98
32,0.8125551102204409,0.6363333333333333,1.1351134080495253,545.864,7,149,6,35,26,658,15,104
33,0.7952154308617234,0.6286666666666666,1.043984480359627,540.401,8,166,3,24,19,680,10,90
34,0.8443937875751503,0.638,1.1354942688385232,553.759,6,143,3,51,36,650,3,108
35,0.8918687374749499,0.6626666666666666,0.9982321132164036,568.745,6,101,6,42,13,709,3,120
36,0.9027755511022044,0.6693333333333332,0.9256983621268182,572.798,4,95,0,38,12,726,2,123
37,0.8994839679358717,0.6716666666666666,0.8865316572833745,571.969,0,91,0,39,12,738,2,118
38,0.8953306613226453,0.6866666666666666,0.923855956598781,567.77,0,83,0,22,22,707,1,165
39,0.921938877755511,0.6873333333333332,0.8200796496703865,575.763,1,56,0,13,24,759,3,144
40,0.9303957915831663,0.7003333333333333,0.7503178818117725,577.573,1,32,0,16,15,781,5,150
41,0.9327855711422846,0.69,0.7703454707224583,577.398,0,35,2,13,27,784,5,134
42,0.9461172344689379,0.7,0.657586851818046,582.367,1,30,0,4,12,806,3,144
43,0.932309619238477,0.6973333333333332,0.7450714910910881,576.947,1,31,0,3,30,776,4,155
44,0.9347244488977956,0.7053333333333333,0.7288282898119793,577.855,1,20,0,7,25,779,5,163
45,0.8951152304609219,0.7016666666666667,0.6790935107469701,561.143,1,19,0,2,23,799,7,149
46,0.8433617234468938,0.6826666666666666,0.8371987114801172,541.817,1,17,2,2,74,750,11,143
47,0.8782364729458918,0.6816666666666666,0.8197544906084604,556.396,7,17,2,3,59,766,9,137
48,0.8946993987975952,0.704,0.906203832223798,563.342,3,26,1,12,40,720,13,185
49,0.926998997995992,0.6973333333333332,0.8799335154435488,577.265,1,42,0,18,28,737,10,164
50,0.9149198396793587,0.726,0.8965996060695506,573.984,2,32,0,11,22,688,9,236
51,0.8709869739478958,0.6933333333333332,1.0119016126364626,560.421,9,54,2,7,23,693,35,177
52,0.8761272545090181,0.703,1.0486099499612935,559.585,3,47,6,21,34,670,17,202
53,0.8890781563126252,0.7146666666666667,1.048948298541234,562.388,1,32,7,10,53,642,17,238
54,0.9132114228456913,0.719,1.0428132790369888,572.253,0,41,3,26,31,649,18,232
55,0.8959919839679359,0.7286666666666666,1.058784498225906,565.692,2,37,1,26,39,618,10,267
56,0.8908316633266533,0.7246666666666667,1.1355041013187819,565.74,4,58,1,22,40,581,13,281
57,0.8999849699398798,0.7173333333333333,1.06530578757598,568.363,6,46,0,19,36,632,15,246
58,0.8942735470941884,0.7306666666666666,1.0744850955320886,566.607,4,35,0,16,26,619,39,261
59,0.9174599198396793,0.7246666666666667,1.0206628878007227,574.617,2,32,1,10,27,651,39,238
60,0.9012975951903808,0.7393333333333333,0.9778400025531907,568.393,0,24,1,8,28,639,29,271
61,0.856503006012024,0.7293333333333333,1.02716949324936,550.746,2,17,0,5,63,616,25,272
62,0.8245040080160321,0.7283333333333333,1.1180968390508248,540.141,1,21,1,5,88,560,27,297
63,0.82249498997996,0.7116666666666667,1.1795941103050842,540.554,3,26,2,8,82,579,49,251
64,0.8231312625250501,0.7123333333333333,1.154520421746055,541.567,1,16,0,10,90,583,55,245
65,0.8267785571142284,0.711,1.2118033034065154,545.317,8,28,1,23,62,587,51,240
66,0.8162675350701403,0.7033333333333333,1.3683017084946614,541.909,6,50,5,22,70,518,82,247
67,0.8107915831663327,0.7036666666666667,1.3454603355433998,540.702,5,67,11,30,56,532,44,255
68,0.8042084168336673,0.7,1.3676767295035521,536.788,5,61,7,36,62,531,58,240
69,0.7915781563126253,0.6803333333333332,1.3640075226256934,532.239,3,50,18,68,56,578,56,171
70,0.7605410821643287,0.6833333333333332,1.4423053901926863,523.212,4,56,16,64,92,510,36,222
71,0.7185921843687375,0.6553333333333332,1.4359271894337622,504.575,14,60,9,47,137,511,22,200
72,0.7164178356713427,0.6846666666666666,1.3966662290697165,502.189,5,42,6,48,140,484,23,252
73,0.6914879759519038,0.651,1.4954019222783765,498.265,12,49,7,53,149,492,56,182
74,0.6802655310621243,0.6516666666666666,1.5243371821160963,494.137,22,55,4,38,121,488,93,179
75,0.7017334669338677,0.6633333333333332,1.4831427693109909,504.432,15,45,5,13,139,466,108,209
76,0.7475400801603206,0.675,1.470243823549552,519.659,8,45,15,14,106,485,120,207
77,0.7523496993987976,0.6796666666666666,1.4143675806813458,519.331,7,50,7,19,103,513,88,213
78,0.7064328657314629,0.6726666666666666,1.4969081109447067,503.798,16,64,9,24,99,482,84,222
79,0.6863627254509018,0.689,1.4886367426344458,497.668,13,43,12,20,109,456,90,257
80,0.6150951903807615,0.6296666666666666,1.572386181551144,469.767,26,40,16,26,159,462,115,156
81,0.6284669338677354,0.6463333333333332,1.4501410146566671,471.93,10,25,9,12,192,466,101,185
82,0.621372745490982,0.6396666666666666,1.4674420651396214,468.096,19,25,9,15,180,480,101,171
83,0.6208266533066132,0.6163333333333333,1.4875869434534925,467.711,26,34,7,28,198,490,77,140
84,0.6363927855711423,0.6363333333333333,1.4512154049628803,475.244,13,45,4,16,173,496,96,157
85,0.6331012024048096,0.6326666666666666,1.5313016458128992,476.143,13,65,8,41,164,479,69,161
86,0.6285971943887776,0.6226666666666666,1.6188272304706295,477.802,24,74,7,58,144,457,95,141
87,0.6238476953907816,0.601,1.6628409047721049,480.062,31,146,9,59,117,435,66,137
88,0.5817334669338677,0.5963333333333333,1.7692565349790565,467.498,46,130,27,41,96,389,137,134
89,0.5668987975951904,0.57,1.8569286490878631,462.269,43,164,31,58,150,315,98,141
90,0.5372194388777555,0.5763333333333333,1.849142471057704,448.737,44,140,33,61,149,335,99,139
91,0.44089178356713427,0.5303333333333332,1.8009247093743963,405.386,78,119,26,56,193,366,77,85
92,0.40480460921843686,0.49866666666666665,1.7209726702498749,387.125,81,158,26,21,221,367,63,63
93,0.42241482965931865,0.5213333333333332,1.5883047081935826,391.74,58,157,10,13,216,427,56,63
94,0.4594238476953908,0.529,1.53621294480675,405.881,42,142,7,38,237,448,29,57
95,0.4464178356713427,0.5136666666666666,1.540312206783046,398.737,67,144,8,18,233,442,28,60
96,0.5140080160320641,0.5336666666666666,1.448454419412774,423.572,65,152,13,12,158,523,23,54
97,0.523937875751503,0.567,1.4558749857832631,428.906,52,128,10,30,147,531,12,90
98,0.5331112224448897,0.5533333333333332,1.5608325669699752,434.531,44,148,16,16,197,447,23,109
99,0.5502705410821643,0.5786666666666667,1.4864659202324906,439.904,33,126,5,25,183,490,22,116
