generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.480495,0.48366666666666663,2.073924497141306,442.629,136,118,137,127,145,106,108,123
1,0.319855,0.36333333333333334,1.908630660923182,369.819,236,92,140,44,246,90,112,40
2,0.18873,0.29333333333333333,1.6275957994373016,299.662,318,60,80,20,359,86,62,15
3,0.144835,0.273,1.4513232289952194,273.409,335,49,52,10,421,93,29,11
4,0.106255,0.2646666666666666,1.3171604508199515,252.207,346,51,17,9,451,106,15,5
5,0.11914,0.2723333333333333,1.276193742285662,254.744,335,54,13,1,454,130,5,8
6,0.13713,0.2813333333333333,1.3196979099523116,262.166,345,58,6,2,415,154,7,13
7,0.15052,0.302,1.287834634738143,265.964,313,55,0,2,421,195,6,8
8,0.208595,0.33,1.317936004159192,290.095,283,59,2,3,389,255,3,6
9,0.259015,0.35833333333333334,1.3203452554218758,309.937,260,57,1,1,353,316,6,6
10,0.30952,0.3946666666666666,1.3493903811424202,331.954,221,65,2,3,318,375,5,11
11,0.45917,0.4563333333333333,1.3077610986857178,391.978,181,85,3,2,200,507,3,19
12,0.582135,0.5176666666666666,1.172359689711372,442.261,122,92,0,4,133,622,5,22
13,0.720245,0.5773333333333333,0.9818580589323431,498.821,66,75,1,11,86,732,3,26
14,0.82117,0.6206666666666666,0.7534316835691814,536.732,29,63,0,6,51,815,2,34
15,0.91266,0.6523333333333332,0.5062581894937832,571.806,2,43,0,10,26,888,1,30
16,0.948625,0.6636666666666666,0.40381419576633615,584.629,3,28,1,5,11,915,0,37
17,0.947395,0.6643333333333332,0.38949794455666753,583.237,0,25,0,6,16,918,1,34
18,0.96226,0.6696666666666666,0.3806045244339389,588.376,1,23,0,6,9,918,0,43
19,0.970935,0.6723333333333332,0.34696208350109187,591.293,0,17,0,7,8,926,0,42
20,0.963745,0.6703333333333332,0.36409276469147583,588.871,0,21,0,7,9,922,0,41
21,0.972275,0.6756666666666666,0.34043473806771574,591.563,0,14,0,4,7,926,1,48
22,0.97366,0.6773333333333332,0.3538761949337129,592.926,0,19,0,2,4,919,1,55
23,0.964885,0.6806666666666666,0.4288442098954326,588.995,1,15,0,5,9,900,2,68
24,0.97371,0.6813333333333332,0.3888404694836988,592.054,0,13,0,4,5,911,5,62
25,0.97046,0.6816666666666666,0.42374104676003876,591.228,0,14,0,7,7,902,4,66
26,0.966385,0.6773333333333332,0.39867207990558035,589.507,0,14,0,5,9,912,5,55
27,0.961225,0.676,0.41740254018415196,587.943,0,17,0,4,11,907,5,56
28,0.956185,0.673,0.39842014293528427,585.419,0,17,0,3,16,911,1,52
29,0.96062,0.6753333333333332,0.43614619962939166,586.842,0,18,0,8,13,902,2,57
30,0.96308,0.6793333333333332,0.4575698727026104,588.646,0,22,0,5,12,889,0,72
31,0.963505,0.6803333333333332,0.4407266546738957,588.143,1,13,0,5,13,897,2,69
32,0.9656,0.684,0.41136593178320735,588.884,0,13,0,1,12,897,0,77
33,0.97253,0.6876666666666666,0.41062314547296747,590.56,0,7,0,2,12,896,1,82
34,0.97172,0.6903333333333332,0.4422717490541871,591.104,0,12,0,1,8,885,3,91
35,0.972695,0.6966666666666667,0.49951910046834896,592.393,0,16,0,3,5,862,3,111
36,0.958365,0.688,0.5177979108805998,586.707,0,15,0,4,13,869,7,92
37,0.946475,0.6843333333333332,0.5650117229538524,582.819,1,19,0,6,14,861,11,88
38,0.964505,0.6943333333333332,0.5361220554219852,587.615,1,9,0,9,13,858,3,107
39,0.959525,0.689,0.5246916610831073,586.637,3,10,0,8,13,867,3,96
40,0.967665,0.69,0.475479480006101,589.809,2,12,0,3,8,878,3,94
41,0.97507,0.689,0.4245955927381724,592.696,0,15,0,0,6,889,2,88
42,0.972545,0.686,0.43029658984008257,591.347,0,13,0,4,8,894,2,79
43,0.972355,0.6846666666666666,0.3800718702540746,590.575,0,6,0,1,11,908,3,71
44,0.95424,0.6796666666666666,0.42485017611669096,584.382,0,13,0,0,18,897,2,70
45,0.97389,0.6826666666666666,0.34282952496221253,590.574,0,4,0,1,11,919,2,63
46,0.9648,0.681,0.3699882618271296,587.842,0,7,1,0,14,912,1,65
47,0.97061,0.681,0.3625957262844054,590.272,0,7,1,0,12,915,2,63
48,0.963655,0.6793333333333332,0.39924320822664255,588.225,0,10,0,1,14,908,5,62
49,0.962885,0.68,0.43544696795779325,588.879,0,23,0,0,8,894,4,71
50,0.97236,0.6816666666666666,0.34881992906113174,590.554,0,4,0,1,13,918,2,62
51,0.970665,0.68,0.37795408734182834,590.587,0,10,0,3,10,914,3,60
52,0.970025,0.6803333333333332,0.40348358615966196,591.399,0,16,0,3,6,907,5,63
53,0.967935,0.68,0.4443063563195035,590.975,0,21,0,5,6,896,5,67
54,0.97053,0.685,0.4458817426026101,590.95,0,14,0,6,8,892,3,77
55,0.97273,0.6856666666666666,0.43929639442614193,591.436,0,10,0,9,9,894,2,76
56,0.95803,0.677,0.44146290370364255,587.08,0,19,0,5,13,898,2,63
57,0.952105,0.6763333333333332,0.4683458734740964,584.825,1,23,0,5,13,890,1,67
58,0.95905,0.676,0.45743782004390265,587.31,0,24,0,9,10,894,1,62
59,0.963135,0.6803333333333332,0.4160560256012936,587.157,1,10,1,5,13,903,0,67
60,0.96804,0.6796666666666666,0.4318385230856283,590.37,0,18,1,5,9,899,1,67
61,0.963495,0.6783333333333332,0.45156258527794796,588.929,1,21,1,6,8,895,1,67
62,0.96651,0.687,0.45865542301552187,589.202,0,12,0,3,12,885,3,85
63,0.96046,0.6816666666666666,0.43375894434033,586.848,0,12,0,3,15,896,2,72
64,0.963245,0.6836666666666666,0.46591178399384625,588.519,1,15,0,3,11,887,4,79
65,0.966525,0.6826666666666666,0.4531259498354394,589.259,1,13,0,8,11,892,1,74
66,0.96254,0.681,0.4756125120289395,588.16,0,18,0,10,13,885,0,74
67,0.96494,0.68,0.46030333365417897,589.11,1,18,0,10,10,891,0,70
68,0.95158,0.676,0.4772567702892995,584.086,0,21,0,10,14,890,2,63
69,0.960485,0.6766666666666666,0.4598188934770357,588.465,0,20,0,11,8,897,6,58
70,0.9483,0.6766666666666666,0.500012410189431,584.218,1,24,0,6,13,883,4,69
71,0.9623,0.6743333333333332,0.3730934791140213,588.724,0,16,0,1,11,918,4,50
72,0.959195,0.6783333333333332,0.4082248403041966,587.209,0,15,0,0,15,903,2,65
73,0.952285,0.6763333333333332,0.42692755349113254,584.519,0,19,0,1,16,899,1,64
74,0.97,0.682,0.39587938623025243,590.346,0,13,0,2,11,904,0,70
75,0.96543,0.682,0.40401905999432136,588.568,0,11,0,1,14,902,1,71
