generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.49445891783567136,0.48366666666666663,2.073924497141306,448.746,136,118,137,127,145,106,108,123
1,0.4627004008016032,0.471,2.0487254719418595,433.527,122,102,153,106,194,88,129,106
2,0.434063126252505,0.4353333333333333,2.0219223722522512,420.503,167,95,171,80,197,80,107,103
3,0.3636673346693387,0.3913333333333333,1.9752508673635656,390.73,164,162,166,67,211,88,101,41
4,0.3104108216432866,0.35933333333333334,1.9015395263829893,363.606,217,119,162,34,235,110,95,28
5,0.2651102204408818,0.3113333333333333,1.821073692687592,340.128,308,105,143,38,217,84,90,15
6,0.20005511022044087,0.2886666666666666,1.731601593007673,307.629,324,136,95,24,270,71,65,15
7,0.17243987975951905,0.281,1.6635627633583034,292.007,336,154,59,15,288,83,49,16
8,0.18390781563126252,0.278,1.6679866321913013,296.628,354,184,54,20,241,97,29,21
9,0.15874248496993987,0.2636666666666666,1.6268920341813617,283.809,376,188,45,38,233,89,22,9
10,0.11593687374749499,0.25066666666666665,1.4869925743935775,264.279,403,195,27,5,222,130,16,2
11,0.14193887775551103,0.2593333333333333,1.5417922716746004,274.515,373,215,48,6,218,124,11,5
12,0.1777004008016032,0.29966666666666664,1.641384796906506,289.781,311,180,44,11,267,150,25,12
13,0.16845190380761524,0.3316666666666666,1.60958178245694,282.361,279,175,17,22,273,207,9,18
14,0.18341683366733466,0.3443333333333333,1.5760889890902818,289.936,257,159,8,11,298,229,26,12
15,0.19362224448897797,0.35,1.5883233023775363,293.389,262,125,18,10,303,243,19,20
16,0.20549599198396792,0.37766666666666665,1.6100304151859144,299.543,198,163,18,9,322,244,14,32
17,0.2657815631262525,0.402,1.625975702534619,326.16,177,145,15,9,330,257,17,50
18,0.2891683366733467,0.407,1.6854482781008082,337.276,218,157,10,21,230,289,21,54
19,0.271998997995992,0.416,1.6181781050354165,327.373,178,130,8,17,287,318,33,29
20,0.32791583166332666,0.4413333333333333,1.5888865262040317,353.72,132,150,10,20,276,360,28,24
21,0.3946693386773547,0.476,1.5369464755008946,381.572,82,159,8,14,260,408,50,19
22,0.4486072144288577,0.493,1.475220714903706,405.382,73,186,9,14,211,457,19,31
23,0.5176753507014028,0.5163333333333333,1.3416978044319865,428.738,59,219,6,11,137,528,11,29
24,0.5500501002004008,0.5526666666666666,1.3227573899865568,438.654,51,136,9,13,146,582,12,51
25,0.577565130260521,0.5643333333333332,1.4453396623674601,451.346,65,113,11,17,141,544,21,88
26,0.6247444889779559,0.5813333333333333,1.2760458089337565,469.785,31,102,2,14,158,603,22,68
27,0.6658517034068137,0.5976666666666667,1.2517995614234612,481.616,23,119,1,13,124,615,22,83
28,0.7467034068136272,0.6073333333333333,1.067994804260065,513.932,18,106,1,6,104,687,9,69
29,0.8311573146292586,0.6393333333333333,0.9256780623966926,546.319,9,100,2,12,45,745,4,83
30,0.8191683366733467,0.649,0.8993877723295631,541.944,5,94,0,23,36,752,3,87
31,0.8106513026052105,0.6516666666666666,1.0346087066528173,537.958,4,78,0,19,80,693,5,121
32,0.829874749498998,0.667,1.0568125892488907,546.907,3,53,2,47,60,701,12,122
33,0.8164779559118236,0.6463333333333332,1.2342418573118856,543.955,10,110,0,48,62,623,16,131
34,0.8067184368737474,0.6693333333333332,1.2627194667631207,537.461,6,70,2,64,63,614,26,155
35,0.7704408817635271,0.6616666666666666,1.285396901464634,527.464,7,88,1,58,79,588,12,167
36,0.7455861723446894,0.6553333333333332,1.3181556117356963,517.619,12,108,2,47,64,582,21,164
37,0.7055360721442886,0.635,1.4072503044671958,504.049,7,120,6,35,103,544,37,148
38,0.7029709418837675,0.6366666666666666,1.4184527749196474,501.637,14,107,9,31,93,554,45,147
39,0.6894488977955912,0.6293333333333333,1.296775630783044,492.462,14,65,5,31,111,622,55,97
40,0.6640130260521042,0.6026666666666667,1.3662016107779509,483.063,22,94,9,44,123,596,34,78
41,0.6998496993987976,0.623,1.2215948783994306,494.574,10,69,12,22,127,642,21,97
42,0.7414178356713427,0.6283333333333333,1.1270242425183834,509.575,17,68,4,11,110,674,15,101
43,0.7353106212424849,0.6456666666666666,1.093093140034136,506.836,14,55,1,14,94,687,20,115
44,0.7559468937875752,0.625,1.0552779135645005,515.405,28,61,1,13,87,714,16,80
45,0.8291482965931863,0.6426666666666666,0.9579165674068704,543.79,11,68,0,16,63,746,15,81
46,0.833872745490982,0.645,0.869854320212688,545.837,10,71,0,15,45,777,11,71
47,0.8308567134268537,0.641,0.8407285548861431,543.299,6,74,0,19,51,784,6,60
48,0.8409268537074148,0.635,0.9473779523630227,548.423,21,79,1,32,42,753,3,69
49,0.8316082164328658,0.6506666666666666,1.142457764406803,544.141,33,75,2,40,38,672,7,133
50,0.8148446893787575,0.6503333333333332,1.2167552725150577,542.145,26,95,1,60,34,639,12,133
51,0.8039529058116233,0.6573333333333332,1.2997588338381811,540.299,15,111,3,47,55,585,13,171
52,0.7882364729458918,0.64,1.3729378650813715,532.968,13,115,5,73,70,570,18,136
53,0.8166482965931864,0.658,1.2199883113744427,544.387,7,132,1,29,50,599,11,171
54,0.8158667334669338,0.656,1.1414426757355676,544.265,5,123,1,30,45,641,8,147
55,0.8077805611222445,0.664,1.1675651324286809,540.315,5,112,1,32,49,628,9,164
56,0.7920691382765531,0.6536666666666666,1.164059191177622,532.277,6,119,0,22,56,634,15,148
