generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.50411,0.495,2.0775470413254755,225.965,123,123,145,118,125,122,120,124
1,0.45614,0.3763333333333333,1.7654714201900559,218.308,201,49,375,104,85,29,117,40
2,0.44361,0.3103333333333333,1.2987282665036683,211.523,210,20,577,38,63,7,74,11
3,0.43352,0.2683333333333333,0.9417806655143618,204.234,239,6,670,11,41,2,31,0
4,0.43185,0.257,0.8296428661897839,202.811,255,5,692,10,22,1,15,0
5,0.44019,0.2596666666666666,0.801786299235931,204.801,246,5,705,9,19,0,16,0
6,0.44463,0.25866666666666666,0.7340489009198478,204.959,242,2,724,8,14,0,10,0
7,0.44654,0.266,0.6970328095607929,203.404,220,2,750,8,10,2,8,0
8,0.45248,0.2693333333333333,0.6763034772089149,204.322,211,4,761,8,5,1,10,0
9,0.45919,0.2756666666666666,0.6254164806910615,204.757,191,4,785,8,2,0,10,0
10,0.45753,0.2773333333333333,0.5539403130309544,201.919,175,3,811,4,4,0,3,0
11,0.47054,0.28833333333333333,0.5550611040189264,205.528,153,1,825,9,3,0,9,0
12,0.46694,0.283,0.5348678152318768,204.5,162,2,823,2,2,0,9,0
13,0.46488,0.2796666666666666,0.533727936053712,204.3,171,1,817,4,1,0,6,0
14,0.46616,0.2853333333333333,0.5106393653091528,202.88,153,2,834,7,2,0,2,0
15,0.46417,0.2833333333333333,0.509423812160236,202.731,159,1,830,5,1,0,4,0
16,0.46623,0.286,0.5136828677252434,202.995,153,0,833,7,3,0,4,0
17,0.47066,0.28966666666666663,0.52876545907444,204.494,146,2,835,2,2,1,12,0
18,0.47273,0.29066666666666663,0.5106501361360725,204.349,140,2,844,5,3,1,4,1
19,0.46632,0.28966666666666663,0.5340287819061881,202.93,145,2,835,11,4,1,2,0
20,0.4718,0.29266666666666663,0.49313044170698983,203.906,135,2,849,9,1,0,4,0
21,0.47383,0.29433333333333334,0.4913883252682823,204.425,131,1,852,6,2,0,8,0
22,0.46858,0.286,0.5084429936749005,204.232,154,1,833,5,0,0,7,0
23,0.4672,0.28633333333333333,0.49902422614907244,203.384,153,0,835,7,0,0,5,0
24,0.47375,0.29133333333333333,0.4737234243452037,204.357,137,1,851,5,0,0,6,0
25,0.47583,0.29566666666666663,0.48207142695544375,204.203,126,3,857,9,1,0,4,0
26,0.46455,0.291,0.48718576147853065,200.767,139,2,847,9,0,0,3,0
27,0.46942,0.29166666666666663,0.47719134197269364,202.5,135,2,852,8,1,0,2,0
28,0.47433,0.29533333333333334,0.49149715469238014,204.303,131,1,851,9,0,0,8,0
29,0.47327,0.29233333333333333,0.4892048788333848,204.309,135,1,850,6,2,0,6,0
30,0.46663,0.28633333333333333,0.5315220599891594,203.603,152,4,831,4,2,0,7,0
