generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.500235,0.495,2.0775470413254755,450.271,123,123,145,118,125,122,120,124
1,0.42885,0.3803333333333333,1.8431298603571586,426.888,188,57,338,71,130,55,119,42
2,0.39506,0.29233333333333333,1.4863584700635273,409.116,275,23,444,33,115,19,82,9
3,0.377455,0.248,1.2946920552945382,399.107,334,19,467,20,103,5,51,1
4,0.3523,0.21233333333333332,1.1408325985205148,386.536,406,11,456,5,85,1,35,1
5,0.36093,0.203,1.07827575920381,392.114,432,6,457,8,64,0,33,0
6,0.352775,0.191,1.0345982595617214,388.231,463,7,447,4,47,2,30,0
7,0.14376,0.08066666666666665,0.7507935945978126,281.19,769,13,164,3,43,2,6,0
8,0.04229,0.035,0.44546298403744405,224.892,900,17,42,1,37,0,2,1
9,0.00852,0.019666666666666666,0.28073481112433135,205.076,941,18,8,0,33,0,0,0
10,0.009245,0.015666666666666666,0.23879814776632774,205.533,954,17,9,0,19,1,0,0
11,0.0058,0.016666666666666663,0.24744814111056976,203.474,951,23,6,0,19,1,0,0
12,0.007565,0.014333333333333332,0.21980976109508843,204.415,957,24,8,0,11,0,0,0
13,0.00834,0.014,0.21731626250942213,204.998,958,21,8,0,13,0,0,0
14,0.009545,0.014666666666666666,0.22396668605606868,205.673,957,23,8,1,11,0,0,0
15,0.00614,0.010666666666666666,0.17509137838504224,203.682,968,13,6,0,13,0,0,0
16,0.0107,0.013,0.20470484615238543,206.418,961,20,11,0,8,0,0,0
17,0.005305,0.011,0.17580796650811248,203.183,967,20,5,0,8,0,0,0
18,0.005505,0.014,0.20597975796547432,203.277,958,31,6,0,5,0,0,0
19,0.007765,0.014,0.21324953302661676,204.657,958,26,8,0,8,0,0,0
20,0.012925,0.019,0.2715292294596313,207.703,943,35,13,0,9,0,0,0
21,0.004055,0.012666666666666666,0.19160923356774384,202.433,962,27,4,0,7,0,0,0
22,0.006035,0.01633333333333333,0.23288079585429544,203.597,951,36,6,0,7,0,0,0
23,0.002945,0.017333333333333333,0.2398603316616944,201.663,950,35,1,1,12,1,0,0
24,0.006575,0.018,0.25527796370608785,203.919,947,36,7,0,9,1,0,0
25,0.010845,0.017666666666666664,0.26235771420035625,206.445,948,25,11,0,15,1,0,0
26,0.005435,0.015666666666666666,0.2304908910390865,203.259,954,28,4,0,13,0,1,0
