generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.5063276553106213,0.5053333333333333,2.0706059920014344,449.187,104,143,124,150,115,116,142,106
1,0.5638376753507014,0.5116666666666666,2.0169037709756417,476.26,117,139,106,244,104,84,88,118
2,0.5595991983967936,0.52,1.9637707056295355,473.59,98,105,175,266,96,53,75,132
3,0.5835971943887776,0.48133333333333334,1.9079725802440366,480.53,96,144,219,274,80,46,62,79
4,0.5924899799599198,0.502,1.7932840041487321,482.737,104,129,181,373,53,36,47,77
5,0.5671943887775551,0.459,1.8017633067093988,475.53,149,144,199,328,46,33,37,64
6,0.5624699398797596,0.4546666666666666,1.6332101575060363,474.355,105,149,307,327,22,11,27,52
7,0.5763877755511022,0.44,1.5727173257581313,479.431,143,111,299,360,21,7,22,37
8,0.5947294589178357,0.4373333333333333,1.5859590986030003,482.444,127,157,288,349,18,16,16,29
9,0.6447895791583166,0.47533333333333333,1.5336063066638046,498.438,86,155,271,405,13,15,18,37
10,0.672369739478958,0.49166666666666664,1.4452230102646402,507.769,88,144,224,478,7,20,13,26
11,0.703371743486974,0.48633333333333334,1.4057302911079437,518.815,97,160,207,486,7,8,8,27
12,0.6918236472945892,0.5163333333333333,1.246227363023982,517.77,77,107,202,577,4,9,8,16
13,0.6897244488977956,0.4933333333333333,1.2416293056864975,517.843,93,86,256,539,2,8,6,10
14,0.6950751503006012,0.511,1.1290462306319597,519.849,78,61,262,580,0,3,4,12
15,0.6628456913827655,0.5063333333333333,1.1525762363705543,510.146,64,69,297,548,0,1,8,13
16,0.6750701402805611,0.498,1.1339804297499105,512.18,53,77,327,528,0,3,8,4
17,0.6730360721442886,0.5093333333333333,1.1030165294955576,511.07,41,70,330,541,0,1,7,10
18,0.6983366733466934,0.5213333333333332,1.1016094321936434,519.296,38,78,288,576,2,2,8,8
19,0.7100951903807615,0.5273333333333332,1.0037656164129238,520.733,24,56,320,586,1,1,5,7
