generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.5063276553106213,0.5053333333333333,2.0706059920014344,449.187,104,143,124,150,115,116,142,106
1,0.5059068136272545,0.48,2.0613011721047636,445.917,155,144,104,163,112,119,93,110
2,0.5369539078156312,0.47533333333333333,2.0352811775642303,459.396,150,109,147,202,113,113,71,95
3,0.5607815631262525,0.471,1.9881539145651126,467.144,132,147,175,234,82,85,64,81
4,0.5229559118236473,0.4703333333333333,1.917837920027353,459.138,123,142,194,282,73,56,64,66
5,0.4959018036072144,0.426,1.95537152012983,448.892,171,135,211,209,83,58,84,49
6,0.46521543086172346,0.37766666666666665,1.8446069741164,440.257,223,90,286,174,75,37,85,30
7,0.42309619238476953,0.333,1.7243783584009393,420.314,268,82,342,125,58,31,77,17
8,0.3996142284569138,0.2886666666666666,1.566774368821732,407.935,315,69,397,80,53,21,50,15
9,0.35547094188376754,0.24333333333333332,1.4055868095559234,389.696,371,62,418,32,57,18,33,9
10,0.3262675350701403,0.19166666666666665,1.1788972383225629,374.909,466,36,400,9,61,5,19,4
11,0.2634919839679359,0.15166666666666664,1.11845043373645,343.875,570,61,293,15,51,5,5,0
12,0.21571643286573147,0.113,0.9567493941800836,321.701,681,29,212,9,58,3,8,0
13,0.11344188376753507,0.087,0.832793349204251,264.519,766,44,123,2,40,25,0,0
14,0.05317635270541082,0.056333333333333326,0.6479077930121339,230.63,839,48,57,1,48,5,2,0
15,0.02026052104208417,0.034666666666666665,0.4438659970119088,211.548,901,47,18,1,29,1,3,0
16,0.007610220440881763,0.03,0.3830625385440529,204.031,915,47,6,0,27,3,2,0
17,0.005601202404809619,0.033,0.4121083961404412,202.918,905,34,6,3,51,1,0,0
18,0.004078156312625251,0.029333333333333333,0.374487234315346,202.018,915,32,4,1,46,2,0,0
19,0.008221442885771544,0.026666666666666665,0.3530993455911913,204.467,921,25,8,0,45,1,0,0
20,0.010876753507014027,0.041666666666666664,0.4701549800614285,206.059,876,23,9,0,91,1,0,0
21,0.0087374749498998,0.046,0.4823159038362102,204.766,864,14,8,0,112,2,0,0
22,0.012950901803607215,0.048,0.49364109319548616,207.277,858,19,4,0,117,1,1,0
23,0.010991983967935872,0.051666666666666666,0.5230554881975507,206.01,849,16,7,1,124,3,0,0
24,0.01597695390781563,0.051,0.5676969573630459,209.073,851,41,13,0,91,2,2,0
25,0.009163326653306613,0.04666666666666666,0.5291753978710514,205.003,861,59,8,1,71,0,0,0
26,0.004739478957915832,0.05566666666666666,0.5911701603381574,202.402,836,84,5,0,72,3,0,0
27,0.011172344689378758,0.05133333333333333,0.5749250765643017,206.132,851,73,9,2,62,2,1,0
28,0.008311623246492986,0.04566666666666666,0.5228805066223213,204.529,865,66,8,0,59,2,0,0
29,0.007009018036072144,0.03733333333333333,0.4511019793207092,203.727,888,57,8,0,47,0,0,0
30,0.007755511022044088,0.05033333333333333,0.5481906644938156,204.212,852,91,5,1,49,2,0,0
31,0.00909819639278557,0.046,0.5254561206081283,205.0,870,69,8,1,45,7,0,0
32,0.008612224448897796,0.042,0.5017923552444248,204.723,880,63,11,1,40,3,2,0
33,0.007219438877755511,0.036,0.44569308908588795,203.901,895,50,10,0,42,3,0,0
34,0.009233466933867736,0.034,0.42108817680078403,205.107,900,33,7,1,58,1,0,0
35,0.011357715430861724,0.03866666666666666,0.46120802697941826,206.307,887,36,7,1,67,0,2,0
36,0.011928857715430861,0.048666666666666664,0.5195326980438861,206.709,856,27,7,0,108,1,1,0
37,0.024899799599198396,0.042666666666666665,0.4880336617863772,214.358,873,25,13,0,88,1,0,0
38,0.008311623246492986,0.03866666666666666,0.4656883291684544,204.511,888,36,10,0,62,4,0,0
39,0.007379759519038076,0.03933333333333333,0.465267709466032,203.955,886,36,6,0,68,2,2,0
40,0.013231462925851704,0.03866666666666666,0.4733738746129672,207.355,888,55,12,1,41,3,0,0
41,0.012900801603206414,0.03533333333333333,0.4365543104638332,206.791,900,52,11,0,31,6,0,0
42,0.007670340681362725,0.05266666666666667,0.5397493740790602,203.869,870,63,3,2,36,26,0,0
43,0.011497995991983968,0.04666666666666666,0.5200491208875073,206.243,872,77,5,1,34,9,2,0
44,0.01061623246492986,0.04,0.48108333347475674,205.743,884,65,14,0,33,4,0,0
45,0.010736472945891784,0.041666666666666664,0.4806724451789803,205.881,881,81,14,1,18,5,0,0
46,0.009944889779559119,0.03533333333333333,0.4205992944224816,205.451,900,69,8,1,17,5,0,0
47,0.009478957915831664,0.031,0.3924974706991595,205.248,908,58,10,0,23,1,0,0
48,0.006212424849699399,0.030666666666666665,0.3895160745651425,203.31,909,58,11,0,21,1,0,0
49,0.009764529058116233,0.02733333333333333,0.3672788866279288,205.433,919,37,12,0,31,0,1,0
50,0.010871743486973949,0.026666666666666665,0.3563976178040731,206.046,920,41,10,0,29,0,0,0
51,0.00871743486973948,0.041333333333333326,0.4847743929107891,204.788,879,65,6,0,47,2,1,0
52,0.00843186372745491,0.034,0.42416941875719916,204.587,898,55,10,0,37,0,0,0
53,0.008416833667334669,0.026333333333333334,0.353654966073713,204.612,921,44,13,0,22,0,0,0
54,0.00875250501002004,0.02733333333333333,0.3511039446589566,204.767,919,55,7,0,18,1,0,0
55,0.006948897795591182,0.03633333333333333,0.4349971638425455,203.707,892,65,5,0,37,1,0,0
56,0.010671342685370741,0.04733333333333333,0.541437839832777,205.788,861,76,11,2,49,1,0,0
57,0.018301603206412824,0.05,0.5541134457666081,210.367,856,84,7,2,47,4,0,0
58,0.007850701402805612,0.054,0.5835836835151975,204.213,840,72,7,0,79,2,0,0
59,0.008061122244488978,0.05033333333333333,0.5610957910349826,204.331,852,62,8,1,75,2,0,0
60,0.013962925851703407,0.058666666666666666,0.6180634707780205,207.813,826,101,9,1,62,1,0,0
61,0.01097194388777555,0.05266666666666667,0.5765199904004719,206.128,844,88,9,1,57,0,1,0
62,0.00878256513026052,0.04566666666666666,0.5183603578673368,204.831,866,76,7,0,48,3,0,0
63,0.012014028056112224,0.058666666666666666,0.6141031252410692,206.688,832,97,7,0,56,8,0,0
64,0.009569138276553106,0.06233333333333333,0.6205656895957212,205.216,819,129,6,1,40,5,0,0
