generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.5018937875751504,0.5026666666666666,2.0761340768261207,449.236,128,127,134,120,104,139,119,129
1,0.4491182364729459,0.44366666666666665,2.052131327975604,422.912,159,152,158,89,120,130,113,79
2,0.4221943887775551,0.42966666666666664,2.0405582015800765,412.592,211,114,131,117,117,123,114,73
3,0.4082314629258517,0.418,2.012201680222454,403.305,209,163,118,69,112,157,107,65
4,0.3761422845691383,0.412,2.0184285300863465,391.372,195,153,141,64,143,136,105,63
5,0.31527054108216435,0.37466666666666665,1.9526389915951596,363.204,234,168,96,57,201,113,74,57
6,0.3008817635270541,0.3263333333333333,1.873874122890579,358.618,310,143,112,51,179,110,62,33
7,0.24859719438877756,0.301,1.8072264753400686,332.524,348,131,117,35,193,89,47,40
8,0.21929859719438877,0.2746666666666666,1.7198263360261055,319.898,360,122,115,31,240,73,38,21
9,0.21468937875751504,0.278,1.7258324656065558,317.66,355,126,115,20,234,77,54,19
10,0.18630260521042083,0.242,1.5720457028649784,302.176,413,97,100,10,255,79,42,4
11,0.18475450901803608,0.22866666666666666,1.5411550897696171,300.625,452,88,100,11,233,75,30,11
12,0.15302605210420842,0.2363333333333333,1.5530581318306889,280.902,442,136,75,9,206,101,21,10
13,0.1547945891783567,0.212,1.4598827769354517,283.535,516,132,38,9,180,76,31,18
14,0.17816132264529058,0.233,1.564843148362821,296.365,477,132,63,11,163,83,60,11
15,0.18378256513026053,0.24733333333333332,1.6218978631671936,300.157,453,101,79,29,187,98,38,15
16,0.15277555110220442,0.22166666666666665,1.5421678407763038,283.0,481,130,75,21,188,64,21,20
17,0.12105711422845691,0.19133333333333333,1.3381740513531875,262.349,538,122,35,7,196,90,9,3
18,0.08044589178356713,0.235,1.4018871040839191,240.747,458,138,16,9,228,142,6,3
19,0.07756513026052105,0.20966666666666667,1.3507012423769225,239.764,521,145,11,14,177,120,8,4
20,0.08393286573146293,0.206,1.3215850057347782,242.797,520,171,12,4,159,121,13,0
21,0.07882765531062125,0.195,1.2794398034964445,241.128,540,167,13,2,155,114,9,0
22,0.10764529058116233,0.22966666666666666,1.3737069789425427,256.004,442,308,15,7,110,102,10,6
