generation,node_id,strategy_int,strategy_bits,payoff
2,31,0,000,346.0
2,32,2,010,103.0
2,33,0,000,592.0
2,34,2,010,108.0
2,35,0,000,458.0
2,36,4,100,402.0
2,37,5,101,400.0
2,38,5,101,400.0
2,39,5,101,600.0
2,40,0,000,216.0
2,41,5,101,424.0
2,42,4,100,395.0
2,43,0,000,404.0
2,44,2,010,9.0
2,45,0,000,592.0
2,46,0,000,596.0
2,47,2,010,122.0
2,48,4,100,832.0
2,49,5,101,313.0
2,50,4,100,160.0
2,51,4,100,268.0
2,52,4,100,408.0
2,53,5,101,310.0
2,54,2,010,314.0
2,55,2,010,206.0
2,56,2,010,207.0
2,57,4,100,778.0
2,58,6,110,128.0
2,59,4,100,397.0
2,60,4,100,397.0
2,61,0,000,212.0
2,62,4,100,202.0
2,63,0,000,212.0
2,64,4,100,206.0
2,65,4,100,161.0
2,66,5,101,303.0
2,67,5,101,325.0
2,68,1,001,325.0
2,69,3,011,444.0
2,70,1,001,356.0
2,71,4,100,402.0
2,72,4,100,265.0
2,73,4,100,208.0
2,74,4,100,202.0
2,75,0,000,154.0
2,76,0,000,204.0
2,77,0,000,200.0
2,78,0,000,204.0
2,79,0,000,404.0
2,80,5,101,350.0
2,81,7,111,156.0
2,82,4,100,409.0
2,83,0,000,462.0
2,84,5,101,361.0
2,85,6,110,116.0
2,86,2,010,450.0
2,87,2,010,550.0
2,88,2,010,544.0
2,89,2,010,544.0
2,90,3,011,17.0
2,91,2,010,351.0
2,92,4,100,829.0
2,93,0,000,846.0
2,94,3,011,16.0
2,95,4,100,402.0
2,96,4,100,345.0
2,97,2,010,127.0
2,98,4,100,391.0
2,99,0,000,404.0
3,0,0,000,212.0
3,1,0,000,208.0
3,2,4,100,213.0
3,3,5,101,299.0
3,4,5,101,375.0
3,5,1,001,228.0
3,6,0,000,262.0
3,7,4,100,399.0
3,8,5,101,448.0
3,9,2,010,364.0
3,10,3,011,303.0
3,11,5,101,506.0
3,12,0,000,346.0
3,13,0,000,204.0
3,14,0,000,200.0
3,15,0,000,200.0
3,16,1,001,200.0
3,17,1,001,200.0
3,18,0,000,200.0
3,19,0,000,200.0
3,20,0,000,150.0
3,21,0,000,396.0
3,22,0,000,592.0
3,23,2,010,103.0
3,24,2,010,103.0
3,25,0,000,646.0
3,26,0,000,400.0
3,27,0,000,204.0
3,28,5,101,297.0
3,29,5,101,402.0
3,30,0,000,404.0
3,31,0,000,346.0
3,32,2,010,4.0
3,33,0,000,396.0
3,34,0,000,400.0
3,35,0,000,258.0
3,36,4,100,210.0
3,37,5,101,400.0
3,38,5,101,501.0
3,39,5,101,499.0
3,40,5,101,299.0
3,41,0,000,262.0
3,42,4,100,207.0
3,43,1,001,203.0
3,44,0,000,204.0
3,45,0,000,200.0
3,46,0,000,204.0
3,47,0,000,208.0
3,48,4,100,258.0
3,49,5,101,253.0
3,50,4,100,160.0
3,51,4,100,261.0
3,52,4,100,208.0
3,53,0,000,354.0
3,54,2,010,8.0
3,55,0,000,354.0
3,56,4,100,391.0
3,57,4,100,205.0
3,58,4,100,209.0
3,59,4,100,205.0
3,60,0,000,216.0
3,61,4,100,205.0
3,62,4,100,202.0
3,63,4,100,209.0
3,64,0,000,216.0
3,65,5,101,350.0
3,66,5,101,400.0
3,67,3,011,445.0
3,68,3,011,297.0
3,69,3,011,302.0
3,70,0,000,650.0
3,71,4,100,402.0
3,72,5,101,352.0
3,73,4,100,212.0
3,74,4,100,206.0
3,75,0,000,154.0
3,76,0,000,208.0
3,77,0,000,208.0
3,78,4,100,206.0
3,79,5,101,202.0
3,80,4,100,265.0
3,81,4,100,262.0
3,82,1,001,209.0
3,83,0,000,258.0
3,84,4,100,402.0
3,85,6,110,4.0
3,86,2,010,450.0
3,87,2,010,550.0
3,88,2,010,400.0
3,89,2,010,301.0
3,90,2,010,202.0
3,91,0,000,592.0
3,92,0,000,454.0
3,93,0,000,258.0
3,94,4,100,202.0
3,95,4,100,209.0
3,96,4,100,156.0
3,97,4,100,212.0
3,98,4,100,205.0
3,99,4,100,202.0
4,0,4,100,206.0
4,1,5,101,400.0
4,2,4,100,213.0
4,3,5,101,375.0
4,4,1,001,428.0
4,5,5,101,425.0
4,6,5,101,626.0
4,7,5,101,499.0
4,8,5,101,552.0
4,9,0,000,162.0
4,10,5,101,399.0
4,11,4,100,266.0
4,12,3,011,155.0
4,13,4,100,399.0
4,14,0,000,400.0
4,15,1,001,203.0
4,16,0,000,200.0
4,17,0,000,200.0
4,18,0,000,200.0
4,19,1,001,200.0
4,20,0,000,150.0
4,21,0,000,200.0
4,22,0,000,200.0
4,23,0,000,200.0
4,24,0,000,200.0
4,25,1,001,253.0
4,26,0,000,204.0
4,27,0,000,204.0
4,28,4,100,203.0
4,29,5,101,501.0
4,30,0,000,204.0
4,31,0,000,150.0
4,32,1,001,200.0
4,33,0,000,204.0
4,34,0,000,204.0
4,35,5,101,523.0
4,36,1,001,425.0
4,37,5,101,575.0
4,38,5,101,474.0
4,39,5,101,575.0
4,40,0,000,212.0
4,41,1,001,328.0
4,42,4,100,203.0
4,43,0,000,208.0
4,44,4,100,199.0
4,45,0,000,208.0
4,46,0,000,212.0
4,47,4,100,202.0
4,48,4,100,254.0
4,49,4,100,257.0
4,50,4,100,153.0
4,51,0,000,270.0
4,52,4,100,205.0
4,53,4,100,154.0
4,54,0,000,154.0
4,55,0,000,150.0
4,56,0,000,200.0
4,57,0,000,204.0
4,58,5,101,299.0
4,59,0,000,208.0
4,60,4,100,203.0
4,61,0,000,208.0
4,62,0,000,212.0
4,63,4,100,399.0
4,64,5,101,299.0
4,65,3,011,303.0
4,66,5,101,599.0
4,67,5,101,247.0
4,68,0,000,158.0
4,69,0,000,404.0
4,70,4,100,451.0
4,71,3,011,304.0
4,72,5,101,650.0
4,73,5,101,498.0
4,74,5,101,458.0
4,75,0,000,354.0
4,76,2,010,122.0
4,77,4,100,388.0
4,78,0,000,404.0
4,79,0,000,212.0
4,80,4,100,254.0
4,81,4,100,257.0
4,82,4,100,212.0
4,83,4,100,268.0
4,84,5,101,361.0
4,85,2,010,314.0
4,86,2,010,300.0
4,87,2,010,301.0
4,88,2,010,202.0
4,89,0,000,592.0
4,90,0,000,396.0
4,91,0,000,200.0
4,92,0,000,254.0
4,93,0,000,254.0
4,94,0,000,208.0
4,95,4,100,202.0
4,96,4,100,157.0
4,97,5,101,299.0
