generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.518325,0.513,2.074860962694341,456.227,112,137,130,136,111,110,123,141
1,0.378715,0.4006666666666666,1.995999662572593,395.733,199,105,157,69,190,101,127,52
2,0.279285,0.31466666666666665,1.813712387646166,343.469,301,85,145,39,247,81,79,23
3,0.192495,0.256,1.611307525370387,296.365,405,67,97,37,270,83,29,12
4,0.166195,0.245,1.53288838733564,280.699,427,77,66,27,278,100,15,10
5,0.18183,0.243,1.4943506873905326,285.934,454,74,53,27,246,129,7,10
6,0.21645,0.256,1.4917454313315248,298.156,467,77,40,26,194,176,7,13
7,0.24268,0.2826666666666666,1.4711223324094902,306.408,438,96,24,18,171,235,3,15
8,0.311615,0.3326666666666666,1.4863680900956926,335.435,383,102,19,17,138,315,3,23
9,0.41344,0.38066666666666665,1.437383086031278,374.648,335,95,17,15,103,405,3,27
10,0.505105,0.443,1.4149213829795175,413.039,252,104,13,12,91,483,4,41
11,0.58425,0.48433333333333334,1.330039298950416,445.352,203,113,8,12,64,551,5,44
12,0.639825,0.5236666666666666,1.2358573762943235,467.467,154,105,1,12,66,608,3,51
13,0.71699,0.5626666666666666,1.1467667082620052,498.09,113,100,2,12,44,664,5,60
14,0.78984,0.599,1.0050057701730695,525.448,76,80,0,12,33,729,8,62
15,0.845995,0.6303333333333333,0.9060649742126117,548.055,43,67,1,10,29,768,8,74
16,0.868795,0.642,0.7696482516896349,555.091,35,42,2,6,27,815,6,67
17,0.88893,0.6533333333333332,0.7206829773298293,562.832,26,39,1,0,25,823,9,77
18,0.907685,0.6593333333333332,0.6313966904627848,567.247,23,22,0,1,23,852,10,69
19,0.909495,0.6616666666666666,0.622277251374096,568.221,17,25,0,1,25,854,9,69
20,0.925435,0.666,0.5482250127119512,573.993,10,18,0,2,25,876,8,61
21,0.940275,0.6746666666666666,0.5245325259573315,579.771,2,17,0,4,26,876,4,71
22,0.946865,0.6816666666666666,0.5329892659204241,582.601,3,16,0,1,18,869,8,85
23,0.948675,0.6833333333333332,0.5183464344616587,582.861,1,15,0,2,18,872,7,85
24,0.9558,0.687,0.5495501869019647,585.798,1,16,0,7,13,863,8,92
25,0.941285,0.6836666666666666,0.5705089064728092,580.917,3,15,0,3,18,859,12,90
26,0.94206,0.688,0.6298191961299534,581.762,0,21,0,4,19,836,16,104
27,0.94881,0.6876666666666666,0.578783800072848,583.13,0,13,0,4,17,854,19,93
28,0.94099,0.683,0.5884992327205262,581.27,0,15,1,4,22,855,16,87
29,0.93195,0.6786666666666666,0.6260108403551871,578.222,1,18,2,8,24,850,15,82
30,0.93511,0.6793333333333332,0.6287365541902279,579.22,1,16,5,7,27,847,9,88
31,0.92785,0.6726666666666666,0.6145465354583933,575.762,0,13,7,8,35,855,9,73
32,0.933435,0.6713333333333332,0.567152250926275,576.889,1,10,6,9,32,871,7,64
33,0.932135,0.6716666666666666,0.5741243104499832,575.929,4,9,4,10,31,869,6,67
34,0.939295,0.6733333333333332,0.5446290246302631,579.915,3,19,1,8,25,872,1,71
35,0.949845,0.682,0.512880502851308,582.511,0,13,1,6,23,873,1,83
