generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.48049,0.48366666666666663,2.073924497141306,221.887,136,118,137,127,145,106,108,123
1,0.26524,0.37566666666666665,1.7602811487955268,168.738,197,51,83,31,379,110,115,34
2,0.14525,0.3246666666666666,1.3675721635998837,137.567,208,34,42,3,546,96,59,12
3,0.08536,0.296,1.0747733456486035,120.252,226,19,13,0,634,79,23,6
4,0.06507,0.283,0.8974485896760329,114.757,230,9,3,0,681,64,11,2
5,0.04368,0.2753333333333333,0.820758580543126,109.786,234,5,4,0,697,57,3,0
6,0.03739,0.2746666666666666,0.7328309391125927,108.255,218,5,0,0,736,36,4,1
7,0.02935,0.268,0.7124375518394057,106.815,226,5,1,0,738,25,5,0
8,0.03685,0.2733333333333333,0.7067710584567759,108.753,213,4,1,0,749,24,9,0
9,0.0277,0.2636666666666666,0.6814548144773122,106.308,233,3,0,0,740,19,5,0
10,0.03579,0.264,0.7316714889113215,108.687,237,2,5,0,727,21,8,0
11,0.0271,0.2636666666666666,0.6766988840388108,106.534,234,0,1,0,741,16,7,1
12,0.02024,0.259,0.6233576522496721,104.688,234,1,1,0,753,8,3,0
13,0.02191,0.2553333333333333,0.6485430953782688,105.203,247,1,1,0,738,8,5,0
14,0.0224,0.2636666666666666,0.653254432623313,105.332,224,5,1,0,755,10,5,0
15,0.02205,0.259,0.6549146251771334,105.129,233,8,1,0,748,6,4,0
16,0.02497,0.2666666666666666,0.6479503211210083,105.867,217,4,1,0,761,12,5,0
17,0.02055,0.2633333333333333,0.624470006056346,104.543,220,5,2,0,763,10,0,0
18,0.02415,0.2613333333333333,0.6383939953766711,105.635,230,3,0,0,753,8,6,0
19,0.02142,0.264,0.6374881607438716,105.106,217,7,3,0,764,6,3,0
20,0.02226,0.2633333333333333,0.6681908199544556,105.372,223,9,2,0,753,8,5,0
21,0.01947,0.2563333333333333,0.680183384872158,104.593,244,8,1,0,734,10,3,0
22,0.02113,0.25866666666666666,0.6611632225228973,104.989,235,5,4,0,745,10,1,0
23,0.0239,0.258,0.6778272816887487,105.816,240,7,1,0,738,7,7,0
24,0.02295,0.259,0.6828666165216489,105.643,239,8,0,0,737,8,8,0
25,0.02671,0.258,0.7010654378170325,106.645,245,6,1,0,729,10,9,0
26,0.02512,0.262,0.6593306843288986,106.056,227,5,3,0,752,9,4,0
27,0.02464,0.2616666666666666,0.665030212018044,106.016,227,7,3,0,751,7,5,0
28,0.02459,0.26,0.6585396095054088,105.689,232,5,3,0,748,10,2,0
29,0.02821,0.265,0.6900501469775266,106.671,228,5,1,0,744,16,5,1
30,0.02203,0.2666666666666666,0.6578667154361127,105.091,216,9,0,0,759,12,4,0
31,0.02214,0.2603333333333333,0.6542575926742297,105.356,232,5,1,0,749,7,6,0
32,0.02215,0.2603333333333333,0.6600206835580434,105.345,234,2,3,0,746,11,4,0
33,0.02184,0.25366666666666665,0.6746909217285362,105.216,251,3,4,0,730,10,2,0
34,0.02256,0.25166666666666665,0.6997305655864342,105.458,261,4,2,0,717,11,5,0
35,0.02357,0.2513333333333333,0.6648699876247869,105.833,254,2,6,0,730,5,3,0
36,0.021,0.256,0.6410054963483109,104.998,242,2,2,0,744,6,4,0
37,0.02346,0.2583333333333333,0.6503610615127402,105.734,236,4,2,0,747,5,6,0
38,0.02122,0.26,0.6484390879759563,105.062,230,5,3,0,752,7,3,0
39,0.02578,0.25666666666666665,0.674103165867294,106.378,245,2,3,0,735,8,7,0
40,0.02418,0.262,0.6438686258909507,105.938,229,2,1,0,753,7,8,0
41,0.02226,0.2606666666666666,0.6181506333111598,105.184,227,2,2,0,760,6,3,0
42,0.02335,0.2646666666666666,0.668333234591223,105.405,225,6,0,0,750,14,5,0
