generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.47940881763527055,0.495,2.0775470413254755,441.076,123,123,145,118,125,122,120,124
1,0.44517034068136274,0.411,1.9720183734391905,434.9,197,75,256,93,117,87,100,75
2,0.45001002004008017,0.367,1.7547065221324063,433.464,215,55,390,68,78,39,101,54
3,0.4324699398797595,0.348,1.5446710872029117,425.619,205,27,487,53,61,28,110,29
4,0.41854208416833666,0.2693333333333333,1.2350116865435075,415.199,275,17,546,16,81,8,55,2
5,0.43011523046092187,0.2553333333333333,1.0788190830774012,418.747,291,13,591,9,49,4,42,1
6,0.42125751503006015,0.2363333333333333,1.0169111513679252,412.259,328,17,584,8,34,4,25,0
7,0.4259569138276553,0.232,0.9614479135340148,414.491,329,22,598,11,26,0,14,0
8,0.40996492985971944,0.22966666666666666,0.8675297320559592,410.689,331,11,622,6,16,0,14,0
9,0.35417835671342685,0.194,0.9122314697633269,387.678,436,15,517,5,14,1,12,0
10,0.33720941883767536,0.164,0.9089735787097067,380.403,521,10,430,7,26,0,6,0
11,0.23567635270541082,0.11266666666666665,0.8206045336511015,330.767,672,8,281,5,29,1,4,0
12,0.14057114228456913,0.055,0.5439259617269316,279.952,838,12,135,1,12,0,2,0
13,0.08765030060120241,0.042666666666666665,0.4855625222305942,251.343,876,10,87,3,23,1,0,0
14,0.03291082164328658,0.028333333333333332,0.3857243787254424,218.967,917,25,28,0,28,1,1,0
15,0.014493987975951904,0.025333333333333333,0.3495620522691312,208.037,927,27,14,2,29,0,1,0
16,0.008812625250501001,0.03166666666666666,0.3946831783947661,204.859,908,19,8,1,62,1,1,0
17,0.008912825651302605,0.025333333333333333,0.3364387752095834,204.927,925,17,9,0,48,1,0,0
18,0.006177354709418837,0.025333333333333333,0.3348127116070154,203.283,925,19,7,0,48,1,0,0
19,0.005506012024048096,0.035,0.41376259386319925,202.833,895,24,6,0,75,0,0,0
20,0.008341683366733467,0.046,0.5259907437990119,204.537,865,60,7,1,65,2,0,0
21,0.008111222444889779,0.04333333333333333,0.5065355797965131,204.425,876,44,7,2,67,2,2,0
22,0.015385771543086173,0.03433333333333333,0.42777328361840744,208.537,902,48,6,2,39,2,1,0
23,0.015410821643286573,0.04,0.4721926552370603,207.99,883,76,11,1,27,2,0,0
24,0.011352705410821643,0.05133333333333333,0.557491791442792,205.85,849,100,9,2,39,1,0,0
25,0.012249498997995992,0.03266666666666666,0.39703742083711974,206.221,910,57,5,5,21,0,1,1
26,0.02087675350701403,0.03233333333333333,0.40591611558179563,211.509,912,40,17,1,26,0,0,4
27,0.007474949899799599,0.026666666666666665,0.3483490930790131,203.97,921,50,7,0,21,1,0,0
28,0.01722945891783567,0.02033333333333333,0.28828955108999904,209.843,941,33,11,0,13,2,0,0
29,0.006938877755511022,0.018333333333333333,0.27029032519160673,203.749,946,24,10,0,19,0,1,0
30,0.008186372745490982,0.021666666666666664,0.29846522423032973,204.476,936,40,7,0,16,1,0,0
31,0.021297595190380762,0.024333333333333332,0.3399382942233326,212.303,929,30,15,0,24,1,1,0
32,0.010581162324649299,0.015333333333333332,0.23540698669013177,205.936,955,18,10,0,16,1,0,0
33,0.007369739478957916,0.015,0.22897590614567587,204.013,956,22,8,0,13,1,0,0
34,0.0039929859719438875,0.013666666666666666,0.20805295549242248,201.989,961,18,4,0,15,2,0,0
35,0.0073947895791583165,0.03166666666666666,0.4047913941997694,204.02,908,44,7,1,38,1,1,0
36,0.006307615230460922,0.029,0.37310059077675856,203.269,914,40,5,1,40,0,0,0
37,0.006638276553106212,0.024333333333333332,0.33136785651839745,203.549,929,36,8,0,25,2,0,0
38,0.010856713426853707,0.020666666666666663,0.2950088619775826,206.101,940,26,8,0,24,1,1,0
39,0.012049098196392785,0.016666666666666663,0.2515861667476605,206.735,951,21,11,0,16,1,0,0
40,0.010110220440881763,0.015333333333333332,0.23037141739089145,205.626,958,16,6,1,16,2,1,0
41,0.006763527054108216,0.021666666666666664,0.2936270443582804,203.644,939,14,6,0,37,4,0,0
42,0.005180360721442886,0.02733333333333333,0.3534567293994181,202.674,919,30,4,0,46,0,1,0
43,0.00809619238476954,0.025333333333333333,0.3379618387744519,204.418,924,26,7,0,43,0,0,0
44,0.024649298597194388,0.017666666666666664,0.25854269395524704,214.352,948,16,7,1,28,0,0,0
45,0.005185370741482966,0.025,0.3278606889960397,202.697,926,22,4,1,47,0,0,0
46,0.0054258517034068135,0.020666666666666663,0.29269988454095597,202.801,939,23,7,0,30,1,0,0
47,0.0043937875751503,0.02,0.283992372388179,202.225,941,30,6,0,22,1,0,0
48,0.011968937875751503,0.022,0.30819952185032556,206.641,937,33,10,1,17,2,0,0
49,0.011322645290581163,0.030333333333333334,0.393722883690004,206.328,911,51,13,1,23,1,0,0
50,0.007084168336673346,0.039,0.46802575455849577,203.822,885,58,8,0,47,0,2,0
51,0.004614228456913828,0.036,0.43135223822401764,202.257,894,62,4,2,38,0,0,0
52,0.008902805611222446,0.03433333333333333,0.4281852414865278,204.889,899,56,10,0,33,2,0,0
53,0.0056212424849699395,0.044,0.5055042803941062,202.958,870,76,8,0,44,2,0,0
54,0.012059118236472946,0.030333333333333334,0.3853279875681862,206.769,915,51,11,1,17,5,0,0
55,0.012219438877755512,0.036,0.4358363380368145,206.799,893,68,9,0,29,1,0,0
56,0.007575150300601202,0.04233333333333333,0.49636270074113914,204.09,874,45,10,1,70,0,0,0
57,0.014108216432865731,0.03166666666666666,0.4086193041088245,207.964,905,43,13,0,39,0,0,0
58,0.005160320641282565,0.023666666666666666,0.3200906300184503,202.592,929,25,6,0,40,0,0,0
59,0.01090180360721443,0.025,0.34220221686134583,206.088,926,23,12,0,38,1,0,0
60,0.012640280561122244,0.043666666666666666,0.5124136214301133,207.133,872,51,11,0,63,3,0,0
61,0.006212424849699399,0.03166666666666666,0.3982888646810695,203.314,910,40,6,0,39,5,0,0
62,0.0064979959919839675,0.02733333333333333,0.35969980946488783,203.435,920,45,7,1,26,1,0,0
63,0.006548096192384769,0.04466666666666667,0.5096804808355034,203.487,869,70,5,1,53,2,0,0
64,0.008537074148296592,0.042666666666666665,0.49686074492431803,204.65,873,72,9,1,45,0,0,0
65,0.008502004008016033,0.030333333333333334,0.3910241329218256,204.485,910,39,8,1,42,0,0,0
66,0.0072094188376753505,0.026333333333333334,0.34915319617003737,203.915,923,42,7,2,26,0,0,0
67,0.006973947895791584,0.01633333333333333,0.24301026141826665,203.772,951,25,6,0,18,0,0,0
68,0.0066432865731462926,0.013666666666666666,0.21317927350083715,203.578,959,15,7,0,19,0,0,0
69,0.006397795591182365,0.011333333333333332,0.1834671663065614,203.431,966,7,10,0,17,0,0,0
70,0.007419839679358718,0.013666666666666666,0.21106402513359246,204.037,960,18,5,0,16,1,0,0
71,0.006172344689378758,0.014,0.21443694988438813,203.284,960,11,6,1,21,1,0,0
72,0.009448897795591183,0.025333333333333333,0.338941363737372,205.138,926,16,11,0,45,2,0,0
73,0.00781062124248497,0.033333333333333326,0.4099803015865845,204.257,904,29,6,0,57,4,0,0
74,0.006753507014028056,0.024,0.3252475158599409,203.62,930,28,5,1,35,1,0,0
75,0.005546092184368737,0.023,0.3174146673590609,202.875,931,26,8,0,35,0,0,0
76,0.011302605210420842,0.027,0.36319972728971567,206.31,921,33,10,1,34,0,1,0
77,0.005771543086172345,0.022,0.30215851870410254,203.05,934,25,5,0,36,0,0,0
78,0.007284569138276553,0.028666666666666663,0.3721174369270588,203.836,915,49,8,0,27,1,0,0
79,0.01248997995991984,0.022333333333333334,0.30255416349329706,206.883,937,40,10,1,10,1,0,1
80,0.010526052104208417,0.01933333333333333,0.27494739255691686,205.801,943,34,7,1,15,0,0,0
81,0.009549098196392786,0.013333333333333332,0.20520490041985048,205.294,961,22,11,1,5,0,0,0
82,0.023957915831663328,0.018,0.2667717342924221,213.678,948,18,10,1,22,1,0,0
83,0.015961923847695392,0.018333333333333333,0.2724194452166081,209.15,946,14,17,1,22,0,0,0
84,0.013917835671342686,0.02733333333333333,0.36411934973192145,207.878,920,17,16,0,45,2,0,0
85,0.008967935871743486,0.020666666666666663,0.28830355484835285,204.92,938,17,7,0,38,0,0,0
86,0.008942885771543086,0.015666666666666666,0.2380755718357397,204.879,954,18,8,0,19,0,1,0
87,0.00747995991983968,0.013666666666666666,0.2124650542823408,204.071,959,13,7,0,21,0,0,0
88,0.006608216432865731,0.014666666666666666,0.22508369023187333,203.557,958,17,7,1,16,1,0,0
89,0.012575150300601202,0.022,0.30692731672861207,207.124,935,38,13,1,13,0,0,0
90,0.014243486973947896,0.028666666666666663,0.3676370908092468,208.037,916,19,8,1,55,1,0,0
91,0.014293587174348697,0.04066666666666666,0.4763324798406301,207.981,880,26,12,0,80,1,1,0
92,0.018236472945891785,0.040333333333333325,0.4649263871670938,210.46,881,23,10,0,84,2,0,0
93,0.010040080160320642,0.025666666666666664,0.35203475839361614,205.6,923,28,15,0,34,0,0,0
94,0.007670340681362725,0.027666666666666666,0.36647755302289203,204.165,920,42,9,0,26,2,1,0
95,0.012354709418837675,0.030666666666666665,0.3963691883814087,206.868,911,26,10,1,50,1,1,0
96,0.013266533066132265,0.020666666666666663,0.2998103298877866,207.304,939,17,18,0,25,1,0,0
97,0.0072094188376753505,0.028,0.3676239292422519,203.883,917,44,8,0,30,1,0,0
98,0.005526052104208417,0.021666666666666664,0.29741524342966874,202.895,935,34,4,0,27,0,0,0
99,0.004238476953907815,0.022333333333333334,0.3059167663750208,202.11,934,23,5,1,37,0,0,0
