generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.50343,0.5003333333333333,2.0771985467222263,450.482,118,145,118,118,124,123,130,124
1,0.32185,0.3733333333333333,1.6672839379730364,351.95,178,431,59,94,66,127,13,32
2,0.275045,0.36166666666666664,1.262763328902962,330.111,151,598,20,82,11,119,3,16
3,0.25748,0.37766666666666665,1.0163738450895938,320.722,81,699,9,82,5,116,0,8
4,0.24428,0.3763333333333333,0.8923215384636372,312.634,60,752,8,84,1,85,0,10
5,0.24214,0.385,0.7870280166766945,311.188,34,779,2,84,1,95,0,5
6,0.236245,0.3896666666666666,0.7158981168010684,307.719,15,802,2,82,2,92,0,5
7,0.22988,0.3866666666666666,0.6892231002771768,306.23,13,809,4,78,2,93,0,1
8,0.241575,0.39,0.7007172419093128,310.869,13,802,3,78,1,101,0,2
9,0.25361,0.3946666666666666,0.7074337183324598,316.79,12,795,0,82,1,106,0,4
10,0.240265,0.3923333333333333,0.6614045124932523,311.547,8,807,1,79,0,104,0,1
11,0.2178,0.3883333333333333,0.6322122164443476,300.962,6,825,2,76,0,87,0,4
12,0.2037,0.37966666666666665,0.6098334689545388,294.062,12,837,2,66,0,81,0,2
13,0.186925,0.377,0.5951326097003059,288.685,12,844,2,54,1,85,0,2
14,0.19145,0.3813333333333333,0.581047879686296,290.19,6,842,2,53,1,95,0,1
15,0.181975,0.37666666666666665,0.5612885852310237,285.141,9,855,1,57,0,74,0,4
16,0.17722,0.377,0.5434729731467085,283.708,5,857,0,56,3,78,0,1
17,0.18391,0.37866666666666665,0.54409002364413,285.072,6,853,0,60,0,80,0,1
18,0.183435,0.3763333333333333,0.5664583324818696,284.095,9,853,1,66,1,68,0,2
19,0.20395,0.383,0.586823684206998,294.016,7,840,0,70,0,80,0,3
20,0.198555,0.3823333333333333,0.6021393624488451,290.815,8,837,2,70,0,81,0,2
21,0.21679,0.3833333333333333,0.5936056847212398,297.078,8,835,0,84,0,72,0,1
22,0.215515,0.38066666666666665,0.5633090726943596,296.489,6,845,1,86,0,62,0,0
23,0.213425,0.379,0.6064668786595265,294.849,13,836,2,92,0,56,0,1
24,0.194675,0.374,0.5747451286287255,287.285,15,847,1,83,0,54,0,0
25,0.20541,0.3753333333333333,0.5838279569040041,289.82,15,844,1,91,0,48,0,1
26,0.20658,0.376,0.6178659510398101,290.528,17,837,1,91,2,50,0,2
27,0.17157,0.36866666666666664,0.5354222666246947,275.916,16,866,0,72,0,42,0,4
28,0.199715,0.377,0.6080126706829451,289.187,15,839,1,88,1,54,0,2
29,0.228635,0.3853333333333333,0.611463225654703,300.461,9,828,0,101,0,60,0,2
30,0.19951,0.37866666666666665,0.5529568386358323,289.96,7,852,0,79,0,60,0,2
31,0.205065,0.3793333333333333,0.5854436433256077,291.541,9,844,2,84,0,59,0,2
32,0.202665,0.378,0.5748029836741742,289.669,10,849,1,86,0,50,0,4
33,0.236645,0.3856666666666666,0.5889153884815274,303.097,6,833,0,106,0,53,0,2
34,0.248025,0.3886666666666666,0.6281245325018713,307.331,9,819,0,117,0,52,0,3
35,0.24666,0.3886666666666666,0.617555184037534,308.098,7,821,0,109,0,62,0,1
36,0.249315,0.3883333333333333,0.6028161881675181,308.113,3,828,1,114,2,50,0,2
37,0.248715,0.3886666666666666,0.6207691169736147,307.783,7,821,0,117,1,52,0,2
38,0.250145,0.39,0.6101843008747246,308.659,5,822,0,115,0,56,0,2
39,0.22053,0.3823333333333333,0.5622832158584984,296.41,6,842,0,103,0,48,0,1
40,0.22102,0.38366666666666666,0.5752768210967427,297.062,5,838,0,96,1,60,0,0
