generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.50533,0.5026666666666666,2.0761340768261207,225.921,128,127,134,120,104,139,119,129
1,0.40639,0.41533333333333333,2.0256429641844824,198.619,205,103,156,86,153,122,107,68
2,0.36399,0.3763333333333333,1.9564099767339815,186.207,233,92,157,68,198,123,87,42
3,0.35349,0.356,1.9003621506950177,181.429,279,77,143,55,201,137,61,47
4,0.33207,0.3426666666666666,1.846621781207085,175.349,311,74,112,57,201,161,47,37
5,0.33136,0.3283333333333333,1.7892458299593923,173.616,333,70,112,58,195,175,29,28
6,0.35474,0.335,1.7487905054535169,178.028,341,71,94,52,172,221,25,24
7,0.36718,0.3383333333333333,1.700144902525238,179.068,354,72,81,45,152,252,16,28
8,0.39205,0.352,1.6759660866699688,183.247,356,65,68,43,137,279,14,38
9,0.41369,0.35766666666666663,1.6262230780257014,187.823,369,57,61,42,113,305,11,42
10,0.43602,0.3693333333333333,1.6059370225534453,191.646,362,57,54,36,105,327,11,48
11,0.45236,0.3773333333333333,1.5602817921334708,194.54,362,55,41,38,93,355,11,45
12,0.468,0.3803333333333333,1.5013128304807897,197.862,370,49,33,42,77,379,10,40
13,0.50837,0.4006666666666666,1.4537057858715823,205.561,348,47,29,34,66,424,12,40
14,0.52835,0.417,1.448570309009836,210.059,330,51,22,34,63,441,12,47
15,0.53264,0.42233333333333334,1.407870883583188,209.834,324,49,18,30,65,459,8,47
16,0.55505,0.43466666666666665,1.3953264438336026,214.787,312,49,19,27,59,473,6,55
17,0.5775,0.4473333333333333,1.3902154899821557,219.322,296,41,22,26,59,491,9,56
18,0.57904,0.448,1.3796886854521462,219.264,289,41,21,27,60,504,14,44
19,0.59453,0.4533333333333333,1.3154989041073921,221.819,287,38,15,22,52,530,17,39
20,0.60079,0.4626666666666666,1.3146385024877907,223.401,268,48,17,16,53,542,14,42
21,0.62221,0.474,1.2849084497273722,228.171,255,46,19,14,49,561,10,46
22,0.64755,0.48333333333333334,1.2126145950108205,231.899,252,30,21,8,44,587,9,49
23,0.6675,0.4933333333333333,1.1645656382991645,236.016,244,28,19,3,40,604,7,55
24,0.66199,0.501,1.1682947838225888,234.501,232,32,21,1,42,606,4,62
25,0.68853,0.513,1.1575115170597579,239.591,222,33,19,1,34,616,6,69
26,0.68915,0.5146666666666666,1.143009235268632,240.665,216,32,17,2,35,629,9,60
27,0.70246,0.5213333333333332,1.1313684353839524,242.868,215,28,16,3,27,634,12,65
28,0.72612,0.5323333333333332,1.0992751820780329,247.896,203,27,13,5,21,653,14,64
29,0.72246,0.535,1.0979065105530468,246.27,199,26,10,6,28,654,10,67
30,0.72172,0.5336666666666666,1.0699061918353816,246.332,193,24,9,5,37,667,8,57
31,0.71959,0.5363333333333332,1.1081930352077267,246.331,189,36,6,5,35,655,10,64
32,0.71793,0.5426666666666666,1.0958994888765663,245.599,182,40,3,2,38,655,7,73
33,0.73565,0.5523333333333332,1.0793632723522604,249.007,174,39,3,4,32,664,5,79
34,0.761,0.558,1.034531184788901,254.326,170,38,3,5,22,681,4,77
35,0.76006,0.5663333333333332,1.0811283118589434,254.684,157,32,8,5,31,676,7,84
36,0.75421,0.568,1.1022351491080709,253.151,150,36,8,5,36,673,8,84
37,0.76105,0.57,1.079722904665966,254.197,158,27,3,7,31,675,12,87
38,0.76746,0.5746666666666667,1.0704220034548866,255.592,149,34,3,7,28,682,10,87
39,0.79138,0.5816666666666667,1.0432671406387852,259.874,145,27,4,14,17,697,13,83
40,0.80215,0.588,1.0643566671994824,262.531,138,28,5,16,18,692,12,91
41,0.78617,0.5866666666666667,1.0947470503262893,258.887,139,21,3,24,30,681,10,92
42,0.79304,0.5916666666666667,1.1001321969274644,260.63,135,24,2,23,27,679,12,98
43,0.79224,0.596,1.107160083680633,260.852,131,24,3,19,26,678,16,103
44,0.8038,0.595,1.1021098892843955,262.688,129,21,7,17,24,686,21,95
45,0.79698,0.5986666666666667,1.1666203909671866,262.196,125,26,8,21,29,663,19,109
46,0.80124,0.6013333333333333,1.135723116686388,262.44,119,20,12,13,33,676,20,107
47,0.80268,0.6013333333333333,1.1497119325869505,263.048,116,22,16,11,34,673,20,108
48,0.80257,0.598,1.1434787390766894,263.055,113,22,20,15,33,683,19,95
49,0.79396,0.595,1.1401841322134891,260.89,114,21,17,10,42,682,21,93
50,0.79018,0.5953333333333333,1.1320293435278899,260.186,110,24,18,12,43,687,15,91
51,0.81538,0.6063333333333333,1.0859828285704007,264.96,100,23,19,11,37,702,10,98
52,0.81735,0.6063333333333333,1.090397610826674,265.643,96,23,22,15,37,705,9,93
53,0.82177,0.6086666666666666,1.056148044371366,265.943,106,18,15,16,34,703,3,105
54,0.82332,0.6113333333333333,1.0628100287246747,265.982,100,20,16,17,34,705,4,104
55,0.82211,0.6096666666666666,1.089445958169295,266.653,102,23,17,18,30,699,8,103
56,0.81128,0.6066666666666666,1.1113604569474909,264.18,107,22,12,20,31,693,16,99
57,0.81865,0.614,1.1163844338736892,265.563,103,26,11,17,26,688,18,111
58,0.825,0.6156666666666666,1.0947178153523076,266.692,102,26,11,16,24,694,15,112
59,0.83326,0.62,1.1042291223119307,268.696,100,25,14,16,19,690,18,118
60,0.82114,0.6166666666666666,1.1104255403844443,266.27,101,26,14,16,26,687,12,118
61,0.8282,0.6146666666666666,1.099010914203261,268.236,99,35,14,16,16,696,17,107
