generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.49282,0.501,2.0776442219010236,444.872,125,139,112,119,127,125,122,131
1,0.37174,0.4046666666666666,1.995601466043258,389.694,215,95,139,60,186,114,127,64
2,0.29043,0.3306666666666666,1.840867450135314,347.23,292,78,136,36,242,102,82,32
3,0.22477,0.286,1.6897030307709928,312.842,365,86,86,20,264,112,43,24
4,0.203745,0.2836666666666666,1.607917826478551,296.233,381,82,50,18,273,149,29,18
5,0.22147,0.2876666666666666,1.530869827288127,300.008,406,74,33,13,237,203,15,19
6,0.270275,0.3083333333333333,1.4837376018485595,318.227,399,91,18,12,181,274,12,13
7,0.346295,0.35033333333333333,1.4526855695777714,347.967,353,95,12,16,156,347,1,20
8,0.42822,0.4053333333333333,1.4337267596556473,381.602,283,100,7,20,131,434,5,20
9,0.51102,0.459,1.3828316114917514,414.656,222,100,4,17,107,511,7,32
10,0.62149,0.5136666666666666,1.3071230476406177,459.194,161,99,5,18,76,589,9,43
11,0.691545,0.5553333333333332,1.1786412593977071,487.211,114,92,4,12,61,658,8,51
12,0.765845,0.599,1.1119115481256003,518.679,66,81,4,17,51,702,14,65
13,0.79627,0.6136666666666666,1.0064673632758616,528.136,52,64,3,16,50,742,11,62
14,0.84812,0.6406666666666666,0.872943411276564,546.148,30,41,2,19,44,787,8,69
15,0.89448,0.659,0.7746963156692006,564.342,11,36,2,20,34,816,10,71
16,0.91548,0.6673333333333332,0.7657846706808507,573.572,6,46,5,21,18,813,8,83
17,0.91555,0.6733333333333332,0.749494516857153,573.03,5,34,7,16,24,814,5,95
18,0.92614,0.6806666666666666,0.7255652003380126,576.228,5,31,3,10,24,812,5,110
19,0.934825,0.6916666666666667,0.681111604802654,579.763,2,23,1,6,20,816,9,123
20,0.953975,0.699,0.64829928243852,585.929,2,13,2,6,12,823,14,128
21,0.938575,0.6993333333333333,0.7130990685981629,580.447,2,16,2,7,23,798,9,143
22,0.93908,0.6993333333333333,0.706895979760424,581.048,1,18,0,8,20,801,14,138
23,0.93513,0.6976666666666667,0.7100260822458896,578.916,0,10,0,9,28,802,20,131
24,0.93224,0.6986666666666667,0.7254199028094138,577.252,0,11,0,9,31,794,17,138
25,0.941425,0.6996666666666667,0.7050552721681558,581.509,0,14,0,5,22,801,23,135
26,0.939795,0.7013333333333333,0.7205497964211487,581.549,0,19,0,4,19,793,23,142
27,0.943015,0.701,0.7110851198029117,581.663,0,15,1,5,21,798,20,140
28,0.936785,0.7026666666666667,0.7785882386105798,579.605,0,21,1,4,25,771,23,155
29,0.935925,0.707,0.7586452183274608,579.761,0,21,2,2,26,767,12,170
30,0.929415,0.713,0.8014557021455897,576.875,0,19,3,3,29,744,12,190
31,0.92741,0.7196666666666667,0.8597772612971115,576.4,0,19,1,6,30,716,19,209
32,0.93308,0.7203333333333333,0.8513472915056072,579.296,1,25,0,4,21,718,22,209
33,0.930215,0.7276666666666667,0.8790431770331592,578.031,1,17,0,6,23,700,28,225
34,0.917865,0.723,0.9607267957640959,574.599,3,22,1,15,22,684,33,220
35,0.89757,0.716,0.9840774157295239,566.936,2,16,4,12,36,684,38,208
36,0.8808,0.7073333333333333,1.0277300110162333,561.604,3,20,3,11,41,678,52,192
37,0.88694,0.7036666666666667,0.9988873354771224,562.78,2,20,3,13,33,698,60,171
38,0.89039,0.6976666666666667,1.0110726431062247,563.532,4,16,4,18,35,704,63,156
39,0.87168,0.6943333333333332,1.0895383606938651,557.316,4,23,5,18,47,674,63,166
40,0.87571,0.6903333333333332,1.0793031531706545,559.342,7,22,5,25,45,687,52,157
41,0.87907,0.6806666666666666,1.076547390406902,561.168,9,26,12,22,40,702,51,138
42,0.873825,0.6713333333333332,1.0030567349235524,559.043,15,34,8,11,37,732,40,123
43,0.873745,0.6733333333333332,0.9972935534022074,559.237,11,31,13,7,45,729,33,131
44,0.87543,0.6713333333333332,0.9847947082870505,558.57,14,19,10,15,47,740,37,118
45,0.87889,0.6733333333333332,0.9747326276765639,559.11,17,20,8,17,45,740,26,127
46,0.86399,0.6646666666666666,1.0021529563433051,553.032,18,25,11,20,46,740,28,112
47,0.87181,0.661,0.9069842984142656,555.262,10,23,12,20,51,775,20,89
48,0.89476,0.663,0.8681435658922377,565.288,11,27,8,26,35,791,21,81
49,0.910655,0.6743333333333332,0.8736353631377678,571.431,6,28,12,26,29,780,15,104
50,0.916675,0.6826666666666666,0.8492459350848343,573.307,6,29,7,23,23,779,14,119
51,0.92306,0.69,0.8935526734763043,576.182,6,34,8,27,15,756,15,139
52,0.93246,0.6943333333333332,0.8752177167539964,578.858,4,24,8,32,19,759,12,142
53,0.920555,0.6893333333333332,0.8465810217136461,572.891,5,26,4,23,29,768,8,137
54,0.91834,0.692,0.8766415855035226,573.554,3,35,2,26,26,753,10,145
55,0.924215,0.698,0.8607992651183877,575.335,2,32,2,25,27,748,5,159
56,0.936545,0.702,0.8344167070546937,579.401,2,25,1,27,23,756,7,159
57,0.93747,0.7006666666666667,0.828891639495505,580.132,1,22,0,28,21,764,17,147
58,0.91563,0.703,0.9038458014527299,573.028,3,21,2,23,29,735,20,167
59,0.898735,0.7013333333333333,0.9971133318669707,567.099,1,30,4,24,35,702,29,175
60,0.89701,0.706,1.037998698892247,566.832,2,23,9,21,36,683,36,190
61,0.885885,0.6993333333333333,1.040297054428423,562.651,5,18,13,19,43,689,31,182
62,0.894445,0.6973333333333332,1.0530336858109703,566.815,10,21,19,19,34,687,24,186
63,0.8861,0.6916666666666667,1.0644260743930316,562.668,10,24,22,19,36,689,23,177
64,0.88404,0.685,1.0723583419583391,562.746,10,25,29,21,34,695,23,163
65,0.88251,0.6733333333333332,1.0680164562044938,562.258,16,19,35,21,36,708,23,142
66,0.85728,0.6546666666666666,1.0711641751384036,552.186,30,28,24,19,35,723,30,111
67,0.860815,0.658,1.0644481625817372,552.543,30,26,30,16,30,721,27,120
68,0.856385,0.657,1.0656589387425188,551.089,30,22,24,21,33,725,35,110
69,0.849675,0.6523333333333332,1.0681641698430673,549.929,21,35,26,16,44,725,29,104
70,0.86555,0.653,0.9728784582757474,555.864,15,32,25,19,43,759,18,89
71,0.88703,0.6573333333333332,0.8949230659962246,562.202,15,30,14,23,45,777,5,91
72,0.8954,0.668,0.8225704234134614,563.848,13,25,3,17,44,790,6,102
73,0.895145,0.6733333333333332,0.7796141012033865,563.267,8,24,5,8,44,797,5,109
74,0.89922,0.6736666666666666,0.7361213408463632,564.724,3,24,3,7,45,811,8,99
75,0.91975,0.6783333333333332,0.6707229214992416,572.688,3,19,0,7,39,827,6,99
76,0.909845,0.6773333333333332,0.7158012171864946,570.013,4,27,0,8,33,817,11,100
77,0.92227,0.6826666666666666,0.6939847323734307,573.498,4,12,1,10,34,823,13,103
78,0.939395,0.6846666666666666,0.6733138085805042,579.861,3,12,0,15,24,832,18,96
79,0.93459,0.6823333333333332,0.6397726056014609,577.266,1,8,2,11,31,842,15,90
80,0.934695,0.681,0.6281381684200992,578.819,1,15,5,8,26,846,8,91
81,0.92446,0.6806666666666666,0.7000895481967051,575.938,3,25,5,5,26,822,10,104
82,0.91787,0.6826666666666666,0.69466608825527,572.04,4,19,1,7,32,820,9,108
83,0.93318,0.6896666666666667,0.6584612961047615,576.4,3,15,0,7,28,823,6,118
84,0.93338,0.6876666666666666,0.6626975218304818,576.676,2,13,1,7,29,827,11,110
85,0.92717,0.6846666666666666,0.6725532868291175,574.814,2,19,0,8,31,824,8,108
86,0.933555,0.685,0.6544694970724133,578.413,2,29,0,4,20,828,9,108
87,0.94469,0.687,0.6038273546348836,583.678,0,22,0,3,17,844,14,100
88,0.917765,0.6813333333333332,0.6713278513003743,574.207,1,32,0,4,26,824,9,104
89,0.931365,0.6853333333333332,0.6546692637055003,576.985,3,14,1,7,28,832,10,105
90,0.93388,0.6833333333333332,0.6588577388232616,578.248,3,16,3,9,25,835,9,100
91,0.93116,0.6803333333333332,0.6498291984535639,577.45,3,19,1,11,25,840,9,92
92,0.93183,0.6803333333333332,0.6402601849515882,578.082,1,21,0,15,23,843,10,87
93,0.942975,0.6876666666666666,0.6288557094249183,581.465,2,16,0,10,19,840,11,102
94,0.94627,0.693,0.6642516499167701,582.406,0,16,1,15,18,825,11,114
95,0.942555,0.6883333333333332,0.6681335803384196,580.559,0,19,1,16,17,830,15,102
96,0.957935,0.6923333333333332,0.6097132918736663,586.547,2,17,0,13,11,841,7,109
97,0.97072,0.6986666666666667,0.5516314403761601,590.546,0,15,0,8,8,847,3,119
98,0.96207,0.695,0.5760696776171181,587.606,0,16,0,10,12,845,4,113
99,0.955365,0.6906666666666667,0.6091580574044624,586.095,1,20,0,11,12,842,8,106
