generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.500235,0.495,2.0775470413254755,450.271,123,123,145,118,125,122,120,124
1,0.45431,0.3723333333333333,1.728597833183048,440.294,191,47,399,85,92,25,124,37
2,0.426045,0.2746666666666666,1.222004402643005,418.879,273,16,560,31,57,6,54,3
3,0.428945,0.25266666666666665,0.9632014381231883,413.587,286,6,632,9,33,3,30,1
4,0.438315,0.2513333333333333,0.8556133693603081,414.219,275,7,669,7,20,0,22,0
5,0.43153,0.23766666666666666,0.815086394627203,413.184,308,5,654,8,12,0,13,0
6,0.41869,0.22466666666666665,0.7645357461363811,407.506,338,2,640,5,8,0,7,0
7,0.42658,0.228,0.746270257285238,411.54,329,1,651,3,6,0,10,0
8,0.421465,0.218,0.7004395042070991,409.063,352,0,640,3,2,0,3,0
9,0.41529,0.217,0.7925711294710297,408.714,359,7,616,5,8,0,5,0
10,0.42082,0.22,0.7741815386973714,411.526,351,4,627,5,7,0,6,0
11,0.41025,0.21033333333333332,0.7580946610696742,407.264,377,2,607,4,6,0,4,0
12,0.42589,0.22133333333333333,0.7516755009801475,413.788,341,6,640,3,8,0,2,0
13,0.412255,0.21366666666666664,0.7943186792504224,408.435,372,4,604,5,7,0,8,0
14,0.400775,0.21233333333333332,0.828781113180038,402.047,381,8,588,6,5,0,12,0
15,0.41121,0.21633333333333332,0.7804018196268623,406.378,364,5,614,4,4,0,9,0
16,0.41289,0.214,0.7375713191922656,406.768,365,3,622,3,3,0,4,0
17,0.41663,0.21566666666666665,0.7460218021027614,408.734,363,3,622,5,2,0,5,0
18,0.417525,0.216,0.7365996905322925,408.609,356,10,629,1,1,0,3,0
19,0.405235,0.21033333333333332,0.7626239506220531,402.825,379,6,604,6,1,0,4,0
20,0.416705,0.216,0.7546459263399502,407.219,360,6,623,5,3,0,3,0
21,0.411765,0.21733333333333332,0.7834319721029179,405.715,362,7,615,7,2,0,7,0
22,0.419275,0.222,0.7275499320426038,407.703,341,5,645,5,2,0,2,0
23,0.40138,0.204,0.7530757932763954,402.762,396,1,591,3,4,1,4,0
24,0.403465,0.2033333333333333,0.7391496636238066,404.367,394,2,595,3,5,0,1,0
25,0.39373,0.203,0.7531695501556672,398.622,398,0,588,4,7,0,3,0
26,0.4076,0.20566666666666666,0.7426117989222045,407.052,388,2,600,3,5,0,2,0
27,0.414225,0.21233333333333332,0.7623628768211979,409.753,377,3,606,3,1,0,9,1
28,0.40779,0.209,0.7661136573979407,406.174,382,3,601,5,5,0,4,0
29,0.39567,0.1993333333333333,0.7756662801776243,401.726,408,5,575,2,6,0,4,0
30,0.40653,0.20933333333333332,0.7899697243478109,406.868,385,3,593,4,6,0,9,0
31,0.412895,0.20966666666666667,0.7603052394345148,409.463,381,3,603,6,3,0,4,0
32,0.40145,0.20766666666666667,0.7767870596577111,402.65,391,1,590,6,4,0,8,0
33,0.402755,0.207,0.8118143116317522,405.091,393,3,581,7,9,0,7,0
34,0.40146,0.20466666666666666,0.7716379606680548,404.528,397,2,586,5,4,0,6,0
35,0.40519,0.2033333333333333,0.7880767785917792,408.266,402,4,578,8,4,0,4,0
36,0.40661,0.2013333333333333,0.748514031849502,408.992,401,3,587,2,4,0,3,0
37,0.40069,0.2,0.7863788350050591,407.626,417,3,563,7,0,0,10,0
38,0.400365,0.20066666666666666,0.784681624724959,405.641,411,1,570,6,5,0,7,0
39,0.389605,0.194,0.7865781851740387,400.415,426,4,556,3,6,0,5,0
40,0.4082,0.2053333333333333,0.7691483520026986,408.944,390,6,593,3,5,0,3,0
41,0.406355,0.2053333333333333,0.7755163186527102,407.379,393,4,589,3,5,0,6,0
42,0.395085,0.2,0.8058155427028248,402.247,408,9,568,7,7,0,1,0
43,0.408345,0.20666666666666667,0.7979851699198033,409.735,396,2,581,6,5,0,10,0
44,0.39233,0.19866666666666666,0.8396416617750391,402.666,421,7,549,7,6,0,10,0
45,0.388355,0.19266666666666665,0.7955550252614749,400.537,430,4,550,2,8,0,6,0
46,0.410245,0.2063333333333333,0.8051610624433407,410.369,390,7,585,2,9,0,7,0
47,0.41083,0.212,0.823596862140806,410.434,379,4,591,8,11,0,7,0
48,0.414965,0.21266666666666667,0.7778712655468736,410.013,372,2,607,3,9,0,7,0
