generation,realized_coop_rate,strategy_coop_rate,diversity,avg_payoff,000,001,010,011,100,101,110,111
0,0.50731,0.5053333333333333,2.0706059920014344,454.396,104,143,124,150,115,116,142,106
1,0.662855,0.5453333333333332,1.790885215849302,507.563,69,144,182,354,14,55,68,114
2,0.73134,0.5603333333333332,1.3947829699702947,528.794,41,99,205,536,6,13,27,73
3,0.778795,0.5793333333333333,1.077786899414849,542.065,17,72,194,657,2,6,12,40
4,0.79729,0.586,0.8644526743358992,546.998,6,48,205,712,1,2,2,24
5,0.803645,0.588,0.7569742163066087,548.009,2,31,214,736,0,2,2,13
6,0.80112,0.588,0.724244237504299,548.032,1,26,219,740,0,0,3,11
7,0.841035,0.6073333333333333,0.5895065375644765,559.435,1,18,163,810,0,0,3,5
8,0.84935,0.6146666666666666,0.5362193972668456,561.874,1,11,148,832,0,0,3,5
9,0.8575,0.616,0.5275805198498269,563.386,1,10,146,835,0,0,2,6
10,0.870625,0.619,0.5183743600399481,566.295,0,15,133,844,0,0,3,5
11,0.876305,0.6196666666666666,0.49413963986871595,567.087,2,15,126,853,0,0,0,4
12,0.882595,0.625,0.48487592402537544,569.767,1,16,112,864,0,1,1,5
13,0.892465,0.6283333333333333,0.4393205202494995,571.451,0,13,106,876,0,0,1,4
14,0.88887,0.629,0.42392036401503463,571.478,2,9,104,881,0,0,0,4
15,0.880685,0.6253333333333333,0.4881673551730315,568.779,3,14,112,863,0,0,0,8
16,0.87304,0.6213333333333333,0.46301632721647595,567.318,1,10,127,859,0,0,0,3
17,0.870615,0.621,0.4674702725597108,566.393,2,10,126,859,0,0,0,3
18,0.876185,0.6233333333333333,0.49724711829516677,567.773,0,13,124,854,0,0,2,7
19,0.882505,0.6236666666666666,0.46444369131228114,569.691,1,17,112,867,0,0,1,2
20,0.889615,0.6276666666666666,0.46815736052226964,570.705,0,15,110,867,0,0,0,8
21,0.88858,0.6286666666666666,0.4863215119232153,571.054,2,17,100,871,0,1,2,7
22,0.87596,0.626,0.5053026102071444,567.802,2,12,117,857,0,1,0,11
